Chemical	Term	GOID	Bonferroni
C186392654	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	1.9106938253798944e-13
C186392654	negative regulation of apoptotic process	GO:0043066	1.5285550603039155e-12
C186392654	transcription from RNA polymerase II promoter	GO:0006366	2.866040738069842e-12
C186392654	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	2.2202262250914373e-10
C186392654	ubiquitin-dependent protein catabolic process	GO:0006511	1.1787070208768567e-09
C186392654	protein stabilization	GO:0050821	4.028697930813507e-09
C186392654	cellular response to DNA damage stimulus	GO:0006974	9.222536956343674e-09
C186392654	peptidyl-serine phosphorylation	GO:0018105	2.2336965943559047e-08
C186392654	positive regulation of gene expression	GO:0010628	2.934749243621582e-08
C186392654	negative regulation of cell proliferation	GO:0008285	4.073140591476232e-08
C186392654	transforming growth factor beta receptor signaling pathway	GO:0007179	1.9498380199323148e-07
C186392654	negative regulation of transcription, DNA-templated	GO:0045892	3.6463636110539715e-07
C186392654	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	9.88182653482994e-07
C186392654	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	1.7410248007720954e-06
C186392654	beta-catenin-TCF complex assembly	GO:1904837	1.9407784923597404e-06
C186392654	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GO:0042787	3.820742566329471e-06
C186392654	protein ubiquitination	GO:0016567	3.864279086496225e-06
C186392654	protein autoubiquitination	GO:0051865	6.869656719032946e-06
C186392654	transcription-coupled nucleotide-excision repair	GO:0006283	8.778761968253336e-06
C186392654	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	1.1167430068126372e-05
C186392654	peptidyl-threonine phosphorylation	GO:0018107	2.3880785276375605e-05
C186392654	nucleotide-excision repair, DNA damage recognition	GO:0000715	2.8540411343036528e-05
C186392654	androgen receptor signaling pathway	GO:0030521	4.173604668444853e-05
C186392654	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	5.1766017853505104e-05
C186392654	DNA repair	GO:0006281	5.47162256794298e-05
C186392654	cellular response to UV	GO:0034644	6.979200322621003e-05
C186392654	positive regulation of DNA repair	GO:0045739	0.00016063392430354373
C186392654	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	0.00016063392430354373
C186392654	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:0006978	0.00017385114574297591
C186392654	regulation of cellular response to heat	GO:1900034	0.00018385490380701253
C186392654	cell cycle	GO:0007049	0.0001910621923767453
C186392654	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO:0042771	0.00019793379403321154
C186392654	cell cycle arrest	GO:0007050	0.00022862682838886705
C186392654	global genome nucleotide-excision repair	GO:0070911	0.0002420785556951355
C186392654	cellular response to hydrogen peroxide	GO:0070301	0.0004431898144779956
C186392654	protein complex assembly	GO:0006461	0.00046177342684206035
C186392654	chromatin remodeling	GO:0006338	0.0005387437250369277
C186392654	apoptotic process	GO:0006915	0.0005798760662800718
C186392654	transcription, DNA-templated	GO:0006351	0.0006211001928189129
C186392654	negative regulation of transforming growth factor beta receptor signaling pathway	GO:0030512	0.00099570852946107
C186392654	response to UV	GO:0009411	0.001315284315309917
C186392654	response to hypoxia	GO:0001666	0.0014487407577377098
C186392654	Ras protein signal transduction	GO:0007265	0.0018487102092819008
C186392654	protein polyubiquitination	GO:0000209	0.0026768618704005047
C186392654	eyelid development in camera-type eye	GO:0061029	0.00386929708174355
C186392654	protein phosphorylation	GO:0006468	0.0038712059066648985
C186392654	regulation of transcription, DNA-templated	GO:0006355	0.004711202622766253
C186392654	positive regulation of cell proliferation	GO:0008284	0.005046882779535245
C186392654	protein sumoylation	GO:0016925	0.0056616234369395455
C186392654	response to gamma radiation	GO:0010332	0.006147323102656754
C186392654	negative regulation of protein catabolic process	GO:0042177	0.0072370552235064825
C186392654	negative regulation of cell growth	GO:0030308	0.007275200586363217
C186392654	regulation of apoptotic process	GO:0042981	0.009891130026148054
C300765	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	1.292805060396859e-22
C300765	positive regulation of transcription, DNA-templated	GO:0045893	9.343081171025359e-19
C300765	negative regulation of apoptotic process	GO:0043066	8.301560935425253e-15
C300765	viral process	GO:0016032	2.162714451969805e-13
C300765	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	7.757224196325296e-09
C300765	apoptotic process	GO:0006915	1.0820276563627829e-08
C300765	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	4.079160531578197e-08
C300765	platelet activation	GO:0030168	4.375149609270324e-08
C300765	peptidyl-serine phosphorylation	GO:0018105	1.1800072130530026e-07
C300765	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	2.096980689092476e-07
C300765	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	2.427826183426518e-07
C300765	signal transduction	GO:0007165	1.630324195200927e-06
C300765	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	1.988082584447604e-06
C300765	transcription from RNA polymerase II promoter	GO:0006366	4.2749400692709835e-06
C300765	regulation of cellular response to heat	GO:1900034	4.371006997572201e-06
C300765	response to drug	GO:0042493	5.4013476784575695e-06
C300765	positive regulation of gene expression	GO:0010628	6.8459217924532476e-06
C300765	negative regulation of transcription, DNA-templated	GO:0045892	1.7868483749072794e-05
C300765	protein phosphorylation	GO:0006468	2.9697111735615955e-05
C300765	positive regulation of neuron apoptotic process	GO:0043525	3.196181727560532e-05
C300765	thymus development	GO:0048538	3.196181727560532e-05
C300765	cellular response to UV	GO:0034644	3.779287501504136e-05
C300765	cellular response to DNA damage stimulus	GO:0006974	4.1168629410837105e-05
C300765	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	4.660087117291933e-05
C300765	negative regulation of neuron apoptotic process	GO:0043524	5.012595149278543e-05
C300765	protein stabilization	GO:0050821	6.672257193007791e-05
C300765	positive regulation of ERK1 and ERK2 cascade	GO:0070374	6.828480516885005e-05
C300765	Fc-epsilon receptor signaling pathway	GO:0038095	8.13598439050045e-05
C300765	cell cycle arrest	GO:0007050	9.41673519239128e-05
C300765	rhythmic process	GO:0048511	0.000164992385035867
C300765	positive regulation of cell proliferation	GO:0008284	0.00025347125737662507
C300765	cell proliferation	GO:0008283	0.00044968017730806503
C300765	positive regulation of protein phosphorylation	GO:0001934	0.0004572566921894339
C300765	androgen receptor signaling pathway	GO:0030521	0.0006858606805407731
C300765	negative regulation of gene expression	GO:0010629	0.0008724627052431044
C300765	positive regulation of peptidyl-serine phosphorylation	GO:0033138	0.0010192672535830338
C300765	regulation of cell proliferation	GO:0042127	0.0011951793579053627
C300765	regulation of Golgi inheritance	GO:0090170	0.002487377395674395
C300765	response to cytokine	GO:0034097	0.0029160741756543147
C300765	positive regulation of fibroblast proliferation	GO:0048146	0.0036567150739789107
C300765	regulation of cell cycle	GO:0051726	0.0044683874737380105
C300765	regulation of signal transduction by p53 class mediator	GO:1901796	0.0044683874737380105
C300765	membrane organization	GO:0061024	0.004863440283948695
C300765	cellular response to hydrogen peroxide	GO:0070301	0.0050485122920278505
C300765	cell cycle	GO:0007049	0.005075799729469478
C300765	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	0.005345348528700278
C300765	transforming growth factor beta receptor signaling pathway	GO:0007179	0.006555412525864335
C300765	negative regulation of cell proliferation	GO:0008285	0.0068061452369838635
C300765	protein destabilization	GO:0031648	0.0077007216275361
C140498	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	5.286975452173231e-38
C140498	positive regulation of transcription, DNA-templated	GO:0045893	3.095205995282171e-24
C140498	transcription from RNA polymerase II promoter	GO:0006366	2.1736464848629203e-16
C140498	viral process	GO:0016032	1.1648940036364107e-15
C140498	negative regulation of apoptotic process	GO:0043066	2.1782575743145566e-13
C140498	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	2.1782575743145566e-13
C140498	negative regulation of transcription, DNA-templated	GO:0045892	1.3287371203318799e-10
C140498	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	7.602118934357803e-10
C140498	stimulatory C-type lectin receptor signaling pathway	GO:0002223	8.257774464226486e-10
C140498	response to drug	GO:0042493	7.951293623520428e-09
C140498	regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0061418	2.535774956680115e-08
C140498	cell cycle arrest	GO:0007050	3.7886215498161846e-08
C140498	Fc-epsilon receptor signaling pathway	GO:0038095	5.3072590877611965e-08
C140498	cellular response to insulin stimulus	GO:0032869	2.8896869719297063e-07
C140498	regulation of transcription from RNA polymerase II promoter	GO:0006357	3.4442235812282007e-06
C140498	negative regulation of cell proliferation	GO:0008285	4.775267236745152e-06
C140498	cellular response to DNA damage stimulus	GO:0006974	4.8382693312865035e-06
C140498	regulation of cellular response to heat	GO:1900034	5.126532621857471e-06
C140498	negative regulation of gene expression	GO:0010629	6.3496039479638e-06
C140498	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	7.433695670910901e-06
C140498	positive regulation of gene expression	GO:0010628	8.643472563796273e-06
C140498	transforming growth factor beta receptor signaling pathway	GO:0007179	3.2098408734748674e-05
C140498	protein phosphorylation	GO:0006468	3.889593939543357e-05
C140498	cellular response to hypoxia	GO:0071456	4.679430509779703e-05
C140498	positive regulation of cell proliferation	GO:0008284	5.3424587542205686e-05
C140498	positive regulation of endothelial cell proliferation	GO:0001938	5.369540147170948e-05
C140498	positive regulation by host of viral transcription	GO:0043923	5.8755410497934875e-05
C140498	response to hypoxia	GO:0001666	6.879716162844217e-05
C140498	response to muscle stretch	GO:0035994	0.00012675665411898684
C140498	membrane organization	GO:0061024	0.00016223984794394575
C140498	apoptotic process	GO:0006915	0.000166026759959359
C140498	positive regulation of angiogenesis	GO:0045766	0.00022704823421471065
C140498	positive regulation of blood vessel endothelial cell migration	GO:0043536	0.00033176409436785903
C140498	cellular response to organic cyclic compound	GO:0071407	0.0003498659337247689
C140498	positive regulation of neuron apoptotic process	GO:0043525	0.0010244421266986103
C140498	thymus development	GO:0048538	0.0010244421266986103
C140498	vascular endothelial growth factor receptor signaling pathway	GO:0048010	0.0014004945421424164
C140498	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	0.0017628667288264175
C140498	T cell receptor signaling pathway	GO:0050852	0.0019480845691812747
C140498	positive regulation of mitotic cell cycle	GO:0045931	0.0026628097643957016
C140498	positive regulation of type I interferon production	GO:0032481	0.002888257806988537
C140498	platelet activation	GO:0030168	0.002900593538045504
C140498	epidermal growth factor receptor signaling pathway	GO:0007173	0.005054897301124185
C140498	regulation of cell cycle	GO:0051726	0.005117200884607542
C140498	lipopolysaccharide-mediated signaling pathway	GO:0031663	0.005327915023931706
C140498	peptidyl-serine phosphorylation	GO:0018105	0.005434471434625277
C140498	transcription, DNA-templated	GO:0006351	0.00609314726186061
C140498	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	0.006119179950110798
C140498	positive regulation of protein phosphorylation	GO:0001934	0.006119179950110798
C95545	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	8.987145341578617e-26
C95545	negative regulation of apoptotic process	GO:0043066	2.142781498228109e-17
C95545	peptidyl-tyrosine phosphorylation	GO:0018108	1.8677047178248265e-14
C95545	viral process	GO:0016032	2.3248070135650783e-13
C95545	positive regulation of transcription, DNA-templated	GO:0045893	6.974421040695233e-13
C95545	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0007169	4.928590868757965e-11
C95545	response to drug	GO:0042493	5.533040692284885e-11
C95545	positive regulation of gene expression	GO:0010628	4.3636627644616515e-10
C95545	transcription from RNA polymerase II promoter	GO:0006366	4.4217829398007785e-10
C95545	peptidyl-tyrosine autophosphorylation	GO:0038083	9.269005563083963e-10
C95545	protein phosphorylation	GO:0006468	2.244368690895726e-09
C95545	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	4.474137493826191e-08
C95545	regulation of phosphatidylinositol 3-kinase signaling	GO:0014066	4.8364586446858475e-08
C95545	signal transduction	GO:0007165	1.211175559845401e-07
C95545	protein autophosphorylation	GO:0046777	1.6517008527561214e-07
C95545	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	2.3554872141673397e-07
C95545	ERBB2 signaling pathway	GO:0038128	9.887522557372463e-07
C95545	epidermal growth factor receptor signaling pathway	GO:0007173	1.0103706146180613e-06
C95545	Fc-epsilon receptor signaling pathway	GO:0038095	3.097357907821952e-06
C95545	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	3.6445796004480604e-06
C95545	T cell receptor signaling pathway	GO:0050852	4.1395202540206455e-06
C95545	positive regulation of cell proliferation	GO:0008284	8.785760963303524e-06
C95545	regulation of cellular response to heat	GO:1900034	1.4772475379065673e-05
C95545	cellular response to DNA damage stimulus	GO:0006974	2.0543650668947144e-05
C95545	phosphatidylinositol-mediated signaling	GO:0048015	2.2483033417786125e-05
C95545	negative regulation of cell proliferation	GO:0008285	2.90051632745314e-05
C95545	cellular response to hydrogen peroxide	GO:0070301	2.9482072101516547e-05
C95545	response to toxic substance	GO:0009636	4.532920102462423e-05
C95545	regulation of cell proliferation	GO:0042127	5.174482334480146e-05
C95545	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	6.904373858629409e-05
C95545	positive regulation of neuron apoptotic process	GO:0043525	8.425793075872434e-05
C95545	cellular response to UV	GO:0034644	9.954620475494114e-05
C95545	phosphatidylinositol phosphorylation	GO:0046854	0.00011033829606554856
C95545	peptidyl-serine phosphorylation	GO:0018105	0.0001103727449753844
C95545	JAK-STAT cascade involved in growth hormone signaling pathway	GO:0060397	0.00016420285681173483
C95545	vascular endothelial growth factor receptor signaling pathway	GO:0048010	0.00019347195166741216
C95545	MAPK cascade	GO:0000165	0.0003125799079798375
C95545	cell proliferation	GO:0008283	0.0003994902044602844
C95545	cellular response to epidermal growth factor stimulus	GO:0071364	0.0004100332991717748
C95545	positive regulation of blood vessel endothelial cell migration	GO:0043536	0.0006198141691056147
C95545	platelet activation	GO:0030168	0.0006347897344065602
C95545	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	0.0011354654310801182
C95545	transforming growth factor beta receptor signaling pathway	GO:0007179	0.001318517464636848
C95545	intracellular signal transduction	GO:0035556	0.0013613706757037436
C95545	positive regulation of apoptotic process	GO:0043065	0.0014679515235317409
C95545	stimulatory C-type lectin receptor signaling pathway	GO:0002223	0.003622109349225244
C95545	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	0.0036267995037004845
C95545	negative regulation of transcription, DNA-templated	GO:0045892	0.0040111407919019015
C95545	positive regulation of GTPase activity	GO:0043547	0.004438701588888705
C95545	positive regulation of mitotic cell cycle	GO:0045931	0.004938797685058449
C95545	regulation of cell motility	GO:2000145	0.004938797685058449
C95545	regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0061418	0.004938797685058449
C95545	positive regulation of angiogenesis	GO:0045766	0.007182801601828603
C95545	positive regulation of fibroblast proliferation	GO:0048146	0.00831999608280165
C95545	lipopolysaccharide-mediated signaling pathway	GO:0031663	0.009843330739198852
C43222486	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	6.859865728707376e-22
C43222486	negative regulation of apoptotic process	GO:0043066	1.2083665161443497e-17
C43222486	positive regulation of transcription, DNA-templated	GO:0045893	4.0022295076117463e-16
C43222486	regulation of signal transduction by p53 class mediator	GO:1901796	8.557599073810707e-13
C43222486	apoptotic process	GO:0006915	4.749467485964942e-11
C43222486	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	8.713775256907752e-10
C43222486	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.7065991952947002e-09
C43222486	protein phosphorylation	GO:0006468	2.2153484602327467e-09
C43222486	negative regulation of cell proliferation	GO:0008285	1.1522807041863814e-08
C43222486	activation of MAPK activity	GO:0000187	2.7341742647735142e-08
C43222486	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	3.064219455950478e-08
C43222486	viral process	GO:0016032	8.115705718569899e-08
C43222486	cellular response to DNA damage stimulus	GO:0006974	5.254101305141035e-07
C43222486	negative regulation of transcription, DNA-templated	GO:0045892	7.154697954092627e-07
C43222486	cell cycle arrest	GO:0007050	7.172405752653431e-07
C43222486	signal transduction	GO:0007165	8.268997045979277e-07
C43222486	Fc-epsilon receptor signaling pathway	GO:0038095	8.652131129327499e-07
C43222486	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	1.0206091244358007e-06
C43222486	positive regulation of gene expression	GO:0010628	1.1205313952267204e-06
C43222486	peptidyl-serine phosphorylation	GO:0018105	2.8077712728169497e-06
C43222486	Ras protein signal transduction	GO:0007265	3.1192785091560538e-06
C43222486	transcription from RNA polymerase II promoter	GO:0006366	7.597426010974573e-06
C43222486	positive regulation of fibroblast proliferation	GO:0048146	8.187597031250604e-06
C43222486	peptidyl-threonine phosphorylation	GO:0018107	1.6148734964138708e-05
C43222486	platelet activation	GO:0030168	1.8167999334184334e-05
C43222486	negative regulation of neuron death	GO:1901215	2.3576146855774915e-05
C43222486	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	3.586528435661762e-05
C43222486	cell proliferation	GO:0008283	0.0001023239690656208
C43222486	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:0006978	0.00013545678670956462
C43222486	Wnt signaling pathway	GO:0016055	0.00018967723019014396
C43222486	response to toxic substance	GO:0009636	0.00031495564042094415
C43222486	positive regulation of cell proliferation	GO:0008284	0.0004045685767607443
C43222486	ERBB2 signaling pathway	GO:0038128	0.0005181616475788964
C43222486	positive regulation of protein phosphorylation	GO:0001934	0.0006048402789130548
C43222486	MAPK cascade	GO:0000165	0.0007385663083132599
C43222486	beta-catenin destruction complex disassembly	GO:1904886	0.0007888562120584862
C43222486	thymus development	GO:0048538	0.001111095753768665
C43222486	negative regulation of gene expression	GO:0010629	0.0011515180228011126
C43222486	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	0.0019111424781024235
C43222486	regulation of cellular response to heat	GO:1900034	0.0020399683651208807
C43222486	regulation of Golgi inheritance	GO:0090170	0.002725550127873677
C43222486	canonical Wnt signaling pathway	GO:0060070	0.004066754680229101
C43222486	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	0.004436757885630138
C43222486	negative regulation of cell growth	GO:0030308	0.004745152348463955
C43222486	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO:0042771	0.004825043854586153
C43222486	negative regulation of canonical Wnt signaling pathway	GO:0090090	0.004912201753486611
C43222486	regulation of apoptotic process	GO:0042981	0.005783148944662697
C43222486	response to muscle stretch	GO:0035994	0.008107189375078705
C43222486	positive regulation of NF-kappaB transcription factor activity	GO:0051092	0.009599638082162907
C84371653	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.7753302065096305e-23
C84371653	positive regulation of transcription, DNA-templated	GO:0045893	7.874156567308754e-21
C84371653	regulation of signal transduction by p53 class mediator	GO:1901796	1.7484488921865058e-20
C84371653	viral process	GO:0016032	2.1689007666196238e-15
C84371653	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	4.076738946423575e-13
C84371653	ubiquitin-dependent protein catabolic process	GO:0006511	1.1822542944628367e-11
C84371653	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.793765136426373e-11
C84371653	transcription from RNA polymerase II promoter	GO:0006366	8.398082229632564e-11
C84371653	negative regulation of cell proliferation	GO:0008285	1.700000140658631e-10
C84371653	negative regulation of transcription, DNA-templated	GO:0045892	3.5630698391742044e-10
C84371653	negative regulation of apoptotic process	GO:0043066	3.7872904812275015e-10
C84371653	positive regulation of gene expression	GO:0010628	5.805276259707172e-10
C84371653	transforming growth factor beta receptor signaling pathway	GO:0007179	7.782494648722604e-10
C84371653	peptidyl-serine phosphorylation	GO:0018105	2.5035253869987173e-09
C84371653	cell cycle arrest	GO:0007050	1.325347820380074e-08
C84371653	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GO:0042787	4.0463467798623753e-08
C84371653	beta-catenin-TCF complex assembly	GO:1904837	8.804390028149811e-08
C84371653	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	1.1146129796912872e-07
C84371653	protein stabilization	GO:0050821	1.2508229274565963e-07
C84371653	protein phosphorylation	GO:0006468	1.7872890767378638e-07
C84371653	cellular response to DNA damage stimulus	GO:0006974	2.2852952519247799e-07
C84371653	apoptotic process	GO:0006915	2.600906112704138e-07
C84371653	peptidyl-threonine phosphorylation	GO:0018107	1.03778880422567e-06
C84371653	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	1.4518734672286369e-06
C84371653	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	5.946575482584927e-06
C84371653	protein autoubiquitination	GO:0051865	1.0507840152218506e-05
C84371653	positive regulation of epithelial to mesenchymal transition	GO:0010718	1.2230816171743264e-05
C84371653	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	1.5665528069863655e-05
C84371653	transcription, DNA-templated	GO:0006351	2.4259673268578474e-05
C84371653	cellular response to hydrogen peroxide	GO:0070301	3.08507488001597e-05
C84371653	regulation of apoptotic process	GO:0042981	3.1458646048476695e-05
C84371653	response to drug	GO:0042493	4.1766613911864425e-05
C84371653	protein polyubiquitination	GO:0000209	5.500251103873754e-05
C84371653	protein ubiquitination	GO:0016567	5.746663159045262e-05
C84371653	positive regulation of cell proliferation	GO:0008284	6.711009306981097e-05
C84371653	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	7.882874255316086e-05
C84371653	DNA repair	GO:0006281	0.00010073509001262691
C84371653	cellular response to UV	GO:0034644	0.00010193044796924512
C84371653	positive regulation by host of viral transcription	GO:0043923	0.00010811927599252424
C84371653	regulation of transcription, DNA-templated	GO:0006355	0.00013090544146621141
C84371653	regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0061418	0.0001444271128477892
C84371653	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	0.00016396323590239792
C84371653	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:0006978	0.00023285113941440283
C84371653	G1/S transition of mitotic cell cycle	GO:0000082	0.00023978021592119259
C84371653	transcription-coupled nucleotide-excision repair	GO:0006283	0.00025091544577615643
C84371653	response to hypoxia	GO:0001666	0.00025914842950247596
C84371653	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO:0042771	0.0002767125022796746
C84371653	stimulatory C-type lectin receptor signaling pathway	GO:0002223	0.000308260556154627
C84371653	cell cycle	GO:0007049	0.00033664364749830256
C84371653	positive regulation of fibroblast proliferation	GO:0048146	0.0004405662340558613
C84371653	SMAD protein complex assembly	GO:0007183	0.0005007220421606728
C84371653	Wnt signaling pathway	GO:0016055	0.0006028617661005821
C84371653	negative regulation of cell growth	GO:0030308	0.00103955670766398
C84371653	SMAD protein signal transduction	GO:0060395	0.0011593838856217564
C84371653	negative regulation of transforming growth factor beta receptor signaling pathway	GO:0030512	0.0014448621613335488
C84371653	androgen receptor signaling pathway	GO:0030521	0.0015810265289513126
C84371653	nucleotide-excision repair, DNA damage recognition	GO:0000715	0.0017131751590475641
C84371653	positive regulation of apoptotic signaling pathway	GO:2001235	0.0026690234091266696
C84371653	Fc-epsilon receptor signaling pathway	GO:0038095	0.003202804913799429
C84371653	regulation of binding	GO:0051098	0.003703562490430578
C84371653	regulation of cellular response to heat	GO:1900034	0.004283728350713667
C84371653	intrinsic apoptotic signaling pathway	GO:0097193	0.006916781044221
C84371653	response to gamma radiation	GO:0010332	0.00818865482998099
C84371653	protein sumoylation	GO:0016925	0.008466188289368294
C84371653	canonical Wnt signaling pathway	GO:0060070	0.00847754876357154
C84371653	signal transduction	GO:0007165	0.009601315727909121
C84371653	global genome nucleotide-excision repair	GO:0070911	0.009635644381834394
C123343168	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.0656851686359726e-26
C123343168	viral process	GO:0016032	4.4261753966122776e-17
C123343168	positive regulation of transcription, DNA-templated	GO:0045893	3.348682786768664e-14
C123343168	negative regulation of apoptotic process	GO:0043066	1.5800694086465228e-12
C123343168	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	1.5603185410384413e-09
C123343168	cellular response to DNA damage stimulus	GO:0006974	9.533348777068795e-09
C123343168	regulation of cell cycle	GO:0051726	2.0822154445099272e-08
C123343168	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	1.3317021596570553e-07
C123343168	response to drug	GO:0042493	3.130800388939648e-07
