Q8TBF5	PIGX
Q9H4Y5	GSTO2
Q6NX49	ZNF544
Q9H7D7	WDR26
Q9UKZ9	PCOLCE2
P09001	MRPL3
P53708	ITGA8
P04035	HMGCR
P60520	GABARAPL2
Q86W92	PPFIBP1
Q5DJT8	CT45A2
Q9UKZ1	CNOT11
Q6NX45	ZNF774
Q9UKZ4	TENM1
Q9H963	ZNF702P
Q14568	HSP90AA2P
Q9H967	WDR76
Q14563	SEMA3A
Q14562	DHX8
Q8WYB5	KAT6B
Q86TG1	TMEM150A
Q14566	MCM6
Q14565	DMC1
Q9NY46	SCN3A
Q6P1A2	LPCAT3
Q9NRH1	YAE1D1
Q9NRH2	SNRK
Q9NRH3	TUBG2
Q9UHF1	EGFL7
Q9UHF0	TAC3
Q9UHF3	NAT8B
Q96PG8	BBC3
P41218	MNDA
P41219	PRPH
Q9UHF7	TRPS1
P41214	EIF2D
Q9H112	CST11
P41217	CD200
Q8N1K5	THEMIS
Q96T91	GPHA2
Q86VY4	TSPYL5
Q92526	CCT6B
Q92521	PIGB
Q92520	FAM3C
Q92523	CPT1B
Q92522	H1FX
Q7Z5L2	R3HCC1L
Q92529	SHC3
Q86VY9	TMEM200A
Q9H4P4	RNF41
P23352	ANOS1
Q96RR1	PEO1
Q5T9C2	FAM102A
Q2QGD7	ZXDC
Q5T9C9	PIP5KL1
Q02878	RPL6
Q9HAP6	LIN7B
P27449	ATP6V0C
P27448	MARK3
Q9HAP2	MLXIP
Q96HA4	C1orf159
Q96HA7	TONSL
Q96HA1	POM121
P86397	RPP14
P07205	PGK2
Q96HA9	PEX11G
Q96HA8	WDYHV1
P31995	FCGR2C
O75164	KDM4A
O75165	DNAJC13
Q96G28	CFAP36
Q9H211	CDT1
O75161	NPHP4
Q9H213	MAGEH1
Q96G23	CERS2
Q5VZL5	ZMYM4
Q96G21	IMP4
P06865	HEXA
Q96G27	WBP1
Q96G25	MED8
P11597	CETP
Q9BWU0	SLC4A1AP
Q9BWU1	CDK19
Q8TEH3	DENND1A
Q13232	NME3
Q13233	MAP3K1
Q13231	CHIT1
Q5TBA9	FRY
O60383	GDF9
O60381	HBP1
Q8HWS3	RFX6
Q9C0H9	SRCIN1
O43242	PSMD3
Q9NXR1	NDE1
Q96AH0	NABP1
Q8NGC7	OR11H6
P10915	HAPLN1
P10914	IRF1
Q15760	GPR19
Q15761	NPY5R
P10911	MCF2
Q6UW02	CYP20A1
Q6UW01	CBLN3
P10912	GHR
Q6U949	IGF2-AS
Q15768	EFNB3
Q76NI1	KNDC1
P23743	DGKA
P59910	DNAJB13
Q8WUF8	FAM172A
Q6KB66	KRT80
Q8WUF5	PPP1R13L
Q96BT3	CENPT
Q96BT7	ALKBH8
P29083	GTF2E1
Q02297	NRG1
O00244	ATOX1
P48147	PREP
P48146	NPBWR2
P48145	NPBWR1
Q99519	NEU1
O15417	TNRC18
Q9BQG0	MYBBP1A
Q9BQG1	SYT3
Q96RU7	TRIB3
Q6PL24	TMED8
Q9BU40	CHRDL1
Q96RU3	FNBP1
Q96RU2	USP28
Q4VC39	HIGD2B
Q6VMQ6	ATF7IP
Q9NYU1	UGGT2
Q9NYU2	UGGT1
Q96RU8	TRIB1
Q96DR5	BPIFA2
A4D1P6	WDR91
Q96DR7	ARHGEF26
Q96L58	B3GALT6
P55145	MANF
P50395	GDI2
Q96A84	EMID1
Q96DR8	MUCL1
Q96L50	LRR1
P50391	NPY4R
Q96SY0	VWA9
Q9Y5A7	NUB1
Q9Y5A6	ZSCAN21
Q8NDW4	ZNF248
Q13643	FHL3
Q13642	FHL1
Q8NDW8	TTC21A
P40305	IFI27
Q08AH3	ACSM2A
P40306	PSMB10
Q9NS40	KCNH7
Q9HCE1	MOV10
Q6XQN6	NAPRT
Q02127	DHODH
P21217	FUT3
Q8IUM7	NPAS4
O75569	PRKRA
A6NE52	WDR97
P62380	TBPL1
P61165	TMEM258
Q8TCC7	SLC22A8
Q8NG77	OR2T12
Q8NGF6	OR10W1
Q96CN9	GCC1
Q8NG76	OR2T33
Q86XT9	TMEM219
Q6ZRV2	FAM83H
P61160	ACTR2
Q7L985	LINGO2
Q96CN7	ISOC1
Q08380	LGALS3BP
Q96CN5	LRRC45
Q96N76	UROC1
Q03188	CENPC
O15069	NACAD
O15068	MCF2L
Q5RKV6	EXOSC6
Q8NGF7	OR5B17
O15063	KIAA0355
P10644	PRKAR1A
O15061	SYNM
P10646	TFPI
O15067	PFAS
O15066	KIF3B
P60891	PRPS1
P48553	TRAPPC10
Q9H9P5	UNKL
Q8NAP8	ZBTB8B
Q9BXJ7	AMN
P07093	SERPINE2
Q8NAP3	ZBTB38
Q9NZM5	GLTSCR2
Q8NAP1	GATS
Q9NZM3	ITSN2
P07099	EPHX1
Q9NZM1	MYOF
Q5T6X5	GPRC6A
Q01968	OCRL
Q14CS0	UBXN2B
A6NNZ2	A6NNZ2
Q9BXJ2	C1QTNF7
Q8N5G2	TMEM57
Q9BXJ3	C1QTNF4
P15382	KCNE1
A1A5B4	ANO9
Q92911	SLC5A5
Q03989	ARID5A
Q96NH3	TBC1D32
Q06609	RAD51
A6NN14	ZNF729
Q9BR01	SULT4A1
P16520	GNB3
Q9Y291	MRPS33
Q9Y296	TRAPPC4
Q9Y297	BTRC
Q9Y294	ASF1A
Q9Y295	DRG1
Q9BR09	NEURL2
P29084	GTF2E2
Q9NUQ3	TXLNG
Q9H0W7	THAP2
Q6ICB4	FAM109B
Q6ICB0	DESI1
Q6IA17	SIGIRR
P30281	CCND3
P49795	RGS19
Q5FYB0	ARSJ
P49796	RGS3
Q9HD45	TM9SF3
P49790	NUP153
P49792	RANBP2
B0I1T2	MYO1G
P19883	FST
P49798	RGS4
P51116	FXR2
P51114	FXR1
Q92913	FGF13
P55286	CDH8
Q86VD7	SLC25A42
P35070	BTC
Q587I9	SFT2D3
Q9H7L2	KIR3DX1
Q9Y2T5	GPR52
Q9Y2T4	PPP2R2C
O60814	HIST1H2BK
Q9Y2T6	GPR55
O60812	HNRNPCL1
Q5T7V8	GORAB
O60810	PRAMEF4
O60543	CIDEA
O43633	CHMP2A
B9ZVM9	TCP10L2
O60548	FOXD2
Q8IU60	DCP2
Q8N8Y5	ZFP41
Q8N8Y2	ATP6V0D2
O43497	CACNA1G
Q9UBD0	HSFX2
P28907	CD38
Q8TB52	FBXO30
Q9P0L0	VAPA
Q9P0L1	ZKSCAN7
Q9P0L2	MARK1
Q92665	MRPS31
P58401	NRXN2
Q9P0L9	PKD2L1
P58400	NRXN1
Q9BZ68	FRMD8P1
Q92738	USP6NL
O75420	GIGYF1
P35251	RFC1
P35250	RFC2
O75425	MOSPD3
Q08170	SRSF4
O75427	LRCH4
O75426	FBXO24
Q92730	RND1
Q92731	ESR2
Q92733	PRCC
Q92734	TFG
Q9H773	DCTPP1
Q92736	RYR2
P43026	GDF5
P23109	AMPD1
O60609	GFRA3
Q00765	REEP5
Q9UH77	KLHL3
Q6IQ16	SPOPL
O60602	TLR5
Q5T5P2	KIAA1217
O15265	ATXN7
Q5BKT4	ALG10
P20138	CD33
O00507	USP9Y
O00505	KPNA3
P17927	CR1
O00501	CLDN5
Q99612	KLF6
P20132	SDS
Q8N9C0	IGSF22
Q8N2R8	FAM43A
P01009	SERPINA1
P01008	SERPINC1
Q9H7M9	C10orf54
Q01581	HMGCS1
Q8N2R0	OSR2
P02763	ORM1
Q8NGN6	OR10G7
Q9BXB5	OSBPL10
Q8IYD1	GSPT2
Q13002	GRIK2
Q8NGN2	OR10S1
Q9BXB1	LGR4
Q13007	IL24
Q8NGN1	OR6T1
Q13009	TIAM1
O75391	SPAG7
O75390	CS
O75396	SEC22B
Q8NGN8	OR4A4P
O75394	MRPL33
Q9Y4F9	FAM65B
P51522	ZNF83
Q8IVD9	NUDCD3
Q8TE68	EPS8L1
Q8TE69	CXorf40A
Q9Y4F1	FARP1
Q8TE67	EPS8L3
Q9Y4F3	KIAA0430
Q99075	HBEGF
Q9Y4F5	CEP170B
Q9Y4F4	FAM179B
Q8TE60	ADAMTS18
P07951	TPM2
Q8N328	PGBD3
Q96R69	OR4F4
Q8N326	C10orf111
Q96R67	OR4C12
Q8N456	LRRC18
P46013	MKI67
Q66K89	E4F1
Q9Y2U2	KCNK7
Q8WVD5	RNF141
P35504	UGT1A5
Q8WVD3	RNF138
P46019	PHKA2
Q9UJ71	CD207
Q9NPG3	UBN1
Q9NPG2	NGB
Q9NPG1	FZD3
O94979	SEC31A
P42772	CDKN2B
P42773	CDKN2C
Q9BSD3	RHNO1
P42771	CDKN2A
O94972	TRIM37
O94973	AP2A2
P68543	UBXN2A
Q9NPG8	ZDHHC4
Q5T3J3	LRIF1
Q9Y6X1	SERP1
Q99218	AMELY
P30154	PPP2R1B
P55039	DRG2
Q8TC07	TBC1D15
Q8TC05	MDM1
P28838	LAP3
A6NMK7	CPSF4L
Q9UGC6	RGS17
P62633	CNBP
Q9UI09	NDUFA12
Q8N4X5	AFAP1L2
Q96JL9	ZNF333
Q8NGH7	OR52L1
Q8WV15	TMEM255B
Q5T7W0	ZNF618
Q8WV16	DCAF4
Q8WV19	SFT2D1
P24903	CYP2F1
Q9HCQ5	GALNT9
A2RUS2	DENND3
Q96DV4	MRPL38
Q9H0W9	C11orf54
P22760	AADAC
Q6NUI2	GPAT2
Q6NUI1	CCDC144NL
A6NFR6	C5orf60
P19440	GGT1
Q9Y4K3	TRAF6
P19447	ERCC3
Q14847	LASP1
P26651	ZFP36
Q96LZ7	RMDN2
Q16518	RPE65
Q2VIR3	EIF2S3L
Q96LZ2	MAGEB10
Q96LZ3	PPP3R2
Q16514	TAF12
Q16515	ASIC2
Q16517	NNAT
Q16512	PKN1
Q16513	PKN2
Q14002	CEACAM7
Q14003	KCNC3
Q14004	CDK13
Q14005	IL16
Q14008	CKAP5
Q5VVM6	CCDC30
Q9Y4K0	LOXL2
O77932	DXO
Q8WY22	BRI3BP
Q8WY21	SORCS1
P19224	UGT1A6
Q9BUV8	C20orf24
Q9BTC0	DIDO1
Q8NCW5	NAXE
Q9NUT2	ABCB8
Q6Y288	B3GLCT
Q8NCW6	GALNT11
Q9BUV0	RSRP1
Q9HA77	CARS2
P00390	GSR
Q9UFC0	LRWD1
O14939	PLD2
O14936	CASK
O43325	LYRM1
O43324	EEF1E1
O43323	DHH
O14933	UBE2L6
O14931	NCR3
P49407	ARRB1
P49406	MRPL19
Q6PEV8	FAM199X
P55000	SLURP1
P0DL12	SMIM17
Q6TGC4	PADI6
Q8IZJ0	IFNL2
Q8IZJ1	UNC5B
Q8IZJ6	TDH
Q8IZJ4	RGL4
Q8TCF1	ZFAND1
Q7Z7F7	MRPL55
Q7Z7F0	KIAA0907
P56937	HSD17B7
Q6NXP0	EFCAB12
Q8NCX0	CCDC150
Q3SY17	SLC25A52
Q9NZQ9	TMOD4
Q9Y2K9	STXBP5L
Q9BY21	GPR87
Q9Y2K5	R3HDM2
Q9Y2K6	USP20
Q9Y2K7	KDM2A
P37088	SCNN1A
Q9Y2K1	ZBTB1
Q9BY27	DGCR6L
Q9Y2K3	MYH15
Q96MT7	CFAP44
Q9UHY1	NRBP1
Q96MT4	LINC01600
Q96MT3	PRICKLE1
Q96MT1	RNF145
Q9UHY7	ENOPH1
Q9UHY8	FEZ2
O14681	EI24
O14682	ENC1
O14683	TP53I11
O14684	PTGES
O14686	KMT2D
Q96MT8	CEP63
A5A3E0	POTEF
Q8IV08	PLD3
Q9UNE7	STUB1
Q9UNE2	RPH3AL
Q9H334	FOXP1
Q9UNE0	EDAR
Q9H0S4	DDX47
Q00975	CACNA1B
Q15788	NCOA1
Q00973	B4GALNT1
Q8NI28	LINC01006
Q86SZ2	TRAPPC6B
Q00978	IRF9
Q6P6B1	ERICH5
Q7Z2T5	TRMT1L
Q9BYM8	RBCK1
P22888	LHCGR
Q9H7X7	IFT22
Q3SYF9	KRTAP19-7
P50895	BCAM
P50897	PPT1
Q63HM9	PLCXD3
P78411	IRX5
P49895	DIO1
O75436	VPS26A
Q63HM1	AFMID
Q14195	DPYSL3
Q63HM2	PCNX4
O95755	RAB36
Q13585	GPR50
O95757	HSPA4L
O95751	LDOC1
O95750	FGF19
Q8WWC4	C2orf47
P13349	MYF5
P01825	IGHV4-59
Q6UY11	DLK2
Q13588	GRAP
O95758	PTBP3
Q6UY14	ADAMTSL4
Q9BWH6	RPAP1
Q8NHV9	RHOXF1
Q9BWH2	FUNDC2
Q8NHV4	NEDD1
Q6YP21	KYAT3
Q8NHV1	GIMAP7
Q6TDP4	KLHL17
P05013	IFNA6
Q9C0J9	BHLHE41
Q9C0J8	WDR33
P05014	IFNA4
P05015	IFNA16
Q10589	BST2
Q10588	BST1
Q9C0J1	B3GNT4
P05019	IGF1
Q68DK2	ZFYVE26
P01920	HLA-DQB1
O00268	TAF4
O00267	SUPT5H
O00264	PGRMC1
O43374	RASA4
P08865	RPSA
P33947	KDELR2
Q9H2K2	TNKS2
Q9H2K0	MTIF3
Q7Z3Z4	PIWIL4
O14756	HSD17B6
Q7Z3Z0	KRT25
Q7Z3Z3	PIWIL3
Q7Z3Z2	RD3
Q9NQ55	PPAN
P56559	ARL4C
Q96CS3	FAF2
Q9NQ50	MRPL40
Q9NV23	OLAH
P81408	FAM189B
Q9P219	CCDC88C
P56557	TMEM50B
P56556	NDUFA6
Q9NV29	TMEM100
O60248	SOX15
O14757	CHEK1
Q5QJ38	TCHHL1
Q8N6K0	TEX29
O95340	PAPSS2
O95347	SMC2
Q9UQ26	RIMS2
Q9UJ99	CDH22
Q9UJ96	KCNG2
Q6PK81	ZNF773
Q8IWV8	UBR2
Q9P217	ZSWIM5
Q9UJ90	KCNE5
Q9H0Q3	FXYD6
P10451	SPP1
P62805	HIST1H4C
P60174	TPI1
Q8NBL1	POGLUT1
Q14157	UBAP2L
P43234	CTSO
Q8N6K4	Q8N6K4
Q49AG3	ZBED5
Q12983	BNIP3
P29460	IL12B
Q12981	BNIP1
Q12980	NPRL3
Q53G59	KLHL12
P38398	BRCA1
P29466	CASP1
Q9Y605	MRFAP1
Q8N6K7	SAMD3
Q9Y600	CSAD
Q9Y603	ETV7
Q93100	PHKB
Q8N6M3	FITM2
P28482	MAPK1
Q9Y6V0	PCLO
C9JCN9	HSBP1L1
Q9P232	CNTN3
Q8N6M5	ALLC
P28336	NMBR
Q9NP55	BPIFA1
Q8N6M8	IQCF1
P28335	HTR2C
P28332	ADH6
P28330	ACADL
P28331	NDUFS1
Q9UIB8	CD84
P62829	RPL23
Q96CU9	FOXRED1
Q71RC2	LARP4
P62820	RAB1A
Q8N9B8	RASGEF1A
Q5XPI4	RNF123
P62826	RAN
P18615	NELFE
P78312	FAM193A
P21452	TACR2
P51858	HDGF
P51857	AKR1D1
P0C7I6	CCDC159
P51854	TKTL1
P17026	ZNF22
Q14409	GK3P
P02743	APCS
Q9BZE9	ASPSCR1
O43913	ORC5
P02747	C1QC
P07510	CHRNG
O43916	CHST1
O43918	AIRE
Q9Y6G5	COMMD10
Q9BZE1	MRPL37
Q8TAB5	C1orf216
Q9BZE7	C22orf23
Q9Y6G1	TMEM14A
Q9Y6G3	MRPL42
P01210	PENK
Q9UKX5	ITGA11
Q5HYW2	NHSL2
Q9UKX7	NUP50
P01215	CGA
Q18PE1	DOK7
Q9UKX3	MYH13
Q96QS6	PSKH2
Q96QS3	ARX
O95968	SCGB1D1
P51878	CASP5
P43490	NAMPT
P45984	MAPK9
Q9H1U4	MEGF9
O60729	CDC14B
Q9H1U9	SLC25A51
Q9BXL7	CARD11
Q56UQ5	Q56UQ5
Q9BZG1	RAB34
Q8TD23	ZNF675
Q9H981	ACTR8
O43934	MFSD11
Q9NRV9	HEBP1
O15194	CTDSPL
O43933	PEX1
Q9UHD9	UBQLN2
Q9UHD8	SEPT9
A6NK89	RASSF10
Q9ULM6	CNOT6
Q9UHD2	TBK1
Q9UHD1	CHORDC1
Q9UHD0	IL19
Q9UHD4	CIDEB
Q7Z5G4	GOLGA7
Q92508	PIEZO1
Q92506	HSD17B8
Q92504	SLC39A7
Q92503	SEC14L1
Q92502	STARD8
Q8N960	CEP120
Q6IS24	WBSCR17
P08195	SLC3A2
P23378	GLDC
P16519	PCSK2
P50991	CCT4
P17482	HOXB9
P17483	HOXB4
P17480	UBTF
P17481	HOXB8
P08034	GJB1
Q6UX15	LAYN
Q15256	PTPRR
Q5W0Z9	ZDHHC20
Q96HC4	PDLIM5
Q8WU58	FAM222B
Q9UEF7	KL
Q13214	SEMA3B
Q6KCM7	SLC25A25
Q13216	ERCC8
Q13217	DNAJC3
Q9H239	MMP28
Q9H237	PORCN
Q9H8H0	NOL11
O75185	ATP2C2
O75182	SIN3B
Q13219	PAPPA
Q13017	ARHGAP5
Q99685	MGLL
Q99684	GFI1
Q99687	MEIS3
Q9BWW8	APOL6
Q9BWW9	APOL5
Q99683	MAP3K5
Q9BWW4	SSBP3
Q17R60	IMPG1
P11226	MBL2
Q8NEQ6	C1orf64
Q99689	FEZ1
P63010	AP2B1
Q09161	NCBP1
Q8N157	AHI1
Q8N159	NAGS
Q8N158	GPC2
Q6UW60	PCSK4
P40145	ADCY8
Q96BR1	SGK3
Q96BR6	ZNF669
Q96BR5	COA7
Q15744	CEBPE
Q6UW68	TMEM205
Q15746	MYLK
Q96BR9	ZBTB8A
Q15742	NAB2
Q15743	GPR68
Q86X76	NIT1
Q8N8G6	C15orf54
Q6ZSJ8	C1orf122
O15431	SLC31A1
O15432	SLC31A2
O95500	CLDN14
Q96JP0	FEM1C
O95502	NPTXR
O95503	CBX6
O15438	ABCC3
O15439	ABCC4
P23763	VAMP1
Q9NYK6	EURL
Q9BQE9	BCL7B
Q9NYK5	MRPL39
Q99538	LGMN
Q99536	VAT1
Q9BQE3	TUBA1C
Q9BQE4	VIMP
Q9BQE5	APOL2
Q8NB25	FAM184A
Q96RS0	TGS1
A6NG13	MGAT4D
P41091	EIF2S3
Q9H0N0	RAB6C
Q96RS6	NUDCD1
Q4VC12	MSS51
P40855	PEX19
Q9UJT1	TUBD1
Q9UJT0	TUBE1
Q9UJT2	TSKS
Q96JP9	CDHR1
Q9Y4G2	PLEKHM1
Q8IUK5	PLXDC1
Q8IXE1	OR4N5
Q8IUK8	CBLN2
Q8NGQ1	OR9G4
Q9Y5C1	ANGPTL3
Q9NS69	TOMM22
Q9NS68	TNFRSF19
Q9NX18	SDHAF2
Q9NX14	NDUFB11
Q9NS61	KCNIP2
Q9NS67	GPR27
Q9NS66	GPR173
P16190	HLA-A
Q16891	IMMT
Q16890	TPD52L1
P12755	SKI
P12757	SKIL
Q8NGQ4	OR10Q1
O75764	TCEA3
P51685	CCR8
Q03431	PTH1R
Q9H6L4	ARMC7
Q9H6L5	FAM134B
Q9H6L2	TMEM231
O60704	TPST2
Q6ZRT6	PRR23B
Q9HD34	LYRM4
Q9Y6M4	CSNK1G3
Q9HD36	BCL2L10
Q14839	CHD4
Q9HD33	MRPL47
Q9HC44	GPBP1L1
O76074	PDE5A
Q8ND83	SLAIN1
Q8ND82	ZNF280C
Q14833	GRM4
Q14832	GRM3
O14745	SLC9A3R1
O14744	PRMT5
O14746	TERT
Q96I24	FUBP3
P22415	USF1
Q5TKA1	LIN9
P54317	PNLIPRP2
P16442	ABO
Q9NZK5	CECR1
Q8N5Y8	PARP16
Q9NZK7	PLA2G2E
P15259	PGAM2
P50406	HTR6
P16671	CD36
Q96L73	NSD1
P50402	EMD
P55160	NCKAP1L
P58182	OR12D2
Q96T37	RBM15
P58180	OR4D2
Q96IK5	GMCL1
Q96IK0	TMEM101
Q96IK1	BOD1
Q86YI8	PHF13
P0C0P6	NPS
A1A5D9	BICDL2
P10599	TXN
Q86TG7	PEG10
Q8NCH0	CHST14
O00308	WWP2
Q8NFQ8	TOR1AIP2
P51688	SGSH
Q9BR61	ACBD6
P52803	EFNA5
Q86X02	CDR2L
Q5JTH9	RRP12
P55291	CDH15
P55290	CDH13
Q8NE00	TMEM104
Q96C01	FAM136A
Q96C00	ZBTB9
Q96C03	MIEF2
Q9P2P6	STARD9
Q96N58	ZNF578
Q9NZB8	MOCS1
Q9P2P1	NYNRIN
Q5T215	TRAPPC3L
Q969X6	UTP4
Q9H7J1	PPP1R3E
Q86VF2	IGFN1
Q86VF7	NRAP
Q3T906	GNPTAB
Q6P5R6	RPL22L1
O60830	TIMM17B
O60831	PRAF2
O60832	DKC1
Q674X7	KAZN
Q00169	PITPNA
Q9Y2V7	COG6
Q9NTU7	CBLN4
Q9Y2V3	RAX
Q9Y2V2	CARHSP1
O95178	NDUFB2
Q5TFG8	ZC2HC1B
Q6PI25	CNIH2
Q8N8W4	PNPLA1
A6NDV4	TMEM8B
Q96EZ4	MYEOV
Q96EZ8	MCRS1
Q9P0J0	NDUFA13
Q96NN9	AIFM3
Q9P0J6	MRPL36
Q9P0J7	KCMF1
P58397	ADAMTS12
O75409	HYPM
Q8NBJ7	SUMF2
Q8NBJ5	COLGALT1
A6NIR3	AGAP5
Q9UL25	RAB21
Q8NBJ9	SIDT2
O75400	PRPF40A
Q5TZK3	FAM74A4
Q7LDG7	RASGRP2
P20151	KLK2
P20155	SPINK2
Q9UHF5	IL17B
Q6IQ32	ADNP2
Q9NVW2	RLIM
Q9UHF4	IL20RA
O00522	KRIT1
P01024	C3
P01023	A2M
O00526	UPK2
P17677	GAP43
P17900	GM2A
P35243	RCVRN
P51504	ZNF80
Q5SVQ8	ZBTB41
Q765I0	UTS2B
Q8NGL0	OR5L2
Q9Y4D2	DAGLA
Q13029	PRDM2
Q8NGL3	OR5D14
Q9Y4D7	PLXND1
Q9BXL8	CDCA4
Q8NGL7	OR4P4
Q13023	AKAP6
Q8NGL9	OR4C16
Q13021	MALL
Q9BXL5	HEMGN
Q9H8G1	ZNF430
Q8IYJ0	PIANP
Q8IYJ3	SYTL1
Q6IPU0	CENPP
Q8TE49	OTUD7A
P41212	ETV6
Q7Z4L5	TTC21B
Q9BRQ5	ORAI3
Q96R48	OR2A5
Q9BRQ4	C11orf70
P18283	GPX2
Q8N300	SVBP
Q8N302	AGGF1
Q92527	ANKRD7
Q8N307	MUC20
P43003	SLC1A3
P0DJH9	RD3L
Q92974	ARHGEF2
P43007	SLC1A4
Q92973	TNPO1
Q6ZV89	SH2D5
P43004	SLC1A2
Q8WVF1	OSCP1
Q8WVF2	UCMA
Q92759	GTF2H4
Q8WVF5	KCTD4
Q92979	EMG1
Q02447	SP3
Q02446	SP4
Q99944	EGFL8
Q99942	RNF5
Q8TC21	ZNF596
Q99941	ATF6B
Q9NPI5	NMRK2
Q9NPI7	KRCC1
Q9NPI6	DCP1A
Q9NPI1	BRD7
Q9NPI0	TMEM138
Q9BSF0	C2orf88
P57078	RIPK4
Q6JVE5	LCN12
Q66LE6	PPP2R2D
Q96JJ3	ELMO2
Q96JJ7	TMX3
Q96I45	TMEM141
Q7L8L6	FASTKD5
Q6NT16	SLC18B1
Q9UI26	IPO11
P04179	SOD2
Q7Z6J4	FGD2
Q7Z6J6	FRMD5
Q86YT5	SLC13A5
Q7Z6J0	SH3RF1
Q05397	PTK2
Q7Z6J2	GRASP
Q14249	ENDOG
Q14246	ADGRE1
Q14247	CTTN
Q14244	MAP7
Q8WV37	ZNF480
Q7Z6J9	TSEN54
Q8WV35	LRRC29
Q14241	TCEB3
Q8IWX8	CHERP
P24928	POLR2A
Q8IU99	CALHM1
P57077	MAP3K7CL
A2RUQ5	C17orf102
P19429	TNNI3
Q8IWX5	SGPP2
Q8IWX7	UNC45B
Q8N6P7	IL22RA1
P57075	UBASH3A
O43699	SIGLEC6
P15735	PHKG2
P07858	CTSB
Q8IW19	APLF
Q96SQ9	CYP2S1
Q7RTN6	STRADA
P46695	IER3
Q96LT9	RNPC3
Q96LT6	C1orf74
Q96LT7	C9orf72
Q96LT4	SAMD8
Q6ZWI9	RFPL4B
P58215	LOXL3
O94955	RHOBTB3
O94956	SLCO2B1
Q86YB7	ECHDC2
O94952	FBXO21
O94953	KDM4B
Q14790	CASP8
Q14061	COX17
Q86YB8	ERO1B
Q9NQC3	RTN4
Q6PP77	XKRX
Q9NUR3	TMEM74B
P16298	PPP3CB
P43681	CHRNA4
Q68E01	INTS3
Q8NCU1	LINC00521
Q96NB1	FOPNL
Q96BI1	SLC22A18
Q8NCU4	CCDC191
