"chid","chnm","casn","code","dsstox_substance_id","clib"
20148,"Benzotrichloride","98-07-7","C98077","DTXSID1020148","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20149,"Benzoyl hydrazine","613-94-5","C613945","DTXSID6020149","TOX21SL"
20151,"Benzyl acetate","140-11-4","C140114","DTXSID0020151","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20152,"Benzyl alcohol","100-51-6","C100516","DTXSID5020152","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20153,"Benzyl chloride","100-44-7","C100447","DTXSID0020153","TOX21SL"
20154,"Clorophene","120-32-1","C120321","DTXSID5020154","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20155,"Benzyl isothiocyanate","622-78-6","C622786","DTXSID0020155","TOX21SL"
20156,"Benzyl thiocyanate","3012-37-1","C3012371","DTXSID5020156","TOX21SL"
20157,"Benzylhydrazine dihydrochloride","20570-96-1","C20570961","DTXSID0020157","TOX21SL"
20160,"Bifenthrin","82657-04-3","C82657043","DTXSID9020160","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20161,"Biphenyl","92-52-4","C92524","DTXSID4020161","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20164,"Pentaerythritol dibromide","3296-90-0","C3296900","DTXSID9020164","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20166,"Bis(tributyltin)oxide","56-35-9","C56359","DTXSID9020166","TOX21SL"
20167,"bis(2-Chloro-1-methylethyl) ether","108-60-1","C108601","DTXSID4020167","TOX21SL"
20168,"Bis(2-chloroethyl) ether","111-44-4","C111444","DTXSID9020168","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20173,"bis(Chloromethyl) ether","542-88-1","C542881","DTXSID8020173","TOX21SL"
20175,"1,4-Bis[2-(3,5-dichloropyridyloxy)]benzene","76150-91-9","C76150919","DTXSID8020175","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20179,"Diisopropanolamine","110-97-4","C110974","DTXSID8020179","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20181,"Bismuth oxychloride","7787-59-9","C7787599","DTXSID2020181","TOX21SL"
20182,"Bisphenol A","80-05-7","C80057","DTXSID7020182","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20184,"C.I. Direct Black 38","1937-37-7","C1937377","DTXSID7020184","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20189,"FD&C Blue No. 1","3844-45-9","C3844459","DTXSID2020189","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20190,"C.I. Acid Blue 74","860-22-0","C860220","DTXSID1020190","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20193,"HC Blue 2","33229-34-4","C33229344","DTXSID6020193","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20194,"Boric acid (H3BO3)","10043-35-3","C10043353","DTXSID1020194","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20197,"Bromocriptine mesylate","22260-51-1","C22260511","DTXSID6020197","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20198,"Bromodichloromethane","75-27-4","C75274","DTXSID1020198","TOX21SL"
20199,"Bromoethane","74-96-4","C74964","DTXSID6020199","TOX21SL"
20200,"2-Bromo-1-ethanol","540-51-2","C540512","DTXSID8020200","TOX21SL"
20202,"Budesonide","51333-22-3","C51333223","DTXSID8020202","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20205,"Benzyl butyl phthalate","85-68-7","C85687","DTXSID3020205","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20206,"1-Chlorobutane","109-69-3","C109693","DTXSID8020206","TOX21SL"
20207,"Dinoseb","88-85-7","C88857","DTXSID3020207","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20209,"Butylparaben","94-26-8","C94268","DTXSID3020209","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20210,"Butyl-N-(4-hydroxybutyl)nitrosamine","3817-11-6","C3817116","DTXSID2020210","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20211,"di-tert-Butyl-4-hydroxymethyl phenol","88-26-6","C88266","DTXSID7020211","TOX21SL"
20212,"4-Methyl-2-tert-butylphenol","2409-55-4","C2409554","DTXSID2020212","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20213,"N-Butyl-N'-nitro-N-nitrosoguanidine","13010-08-7","C13010087","DTXSID7020213","TOX21SL"
20215,"Butylated hydroxyanisole","25013-16-5","C25013165","DTXSID7020215","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
20216,"Butylated hydroxytoluene","128-37-0","C128370","DTXSID2020216","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII"
20220,"tert-Butylhydroquinone","1948-33-0","C1948330","DTXSID6020220","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20221,"4-tert-Butylphenol","98-54-4","C98544","DTXSID1020221","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20222,"N-Butylurea","592-31-4","C592314","DTXSID6020222","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20223,"beta-Butyrolactone","3068-88-0","C3068880","DTXSID1020223","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20224,"4-Butyrolactone","96-48-0","C96480","DTXSID6020224","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20226,"Cadmium chloride","10108-64-2","C10108642","DTXSID6020226","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20231,"Caffeic acid","331-39-5","C331395","DTXSID5020231","TOX21SL"
20232,"Caffeine","58-08-2","C58082","DTXSID0020232","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20233,"Ergocalciferol","50-14-6","C50146","DTXSID5020233","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20235,"Calcium chloride","10043-52-4","C10043524","DTXSID5020235","TOX21SL"
20236,"Calcium lactate","814-80-2","C814802","DTXSID0020236","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20238,"Camostat mesylate","59721-29-8","C59721298","DTXSID0020238","TOX21SL"
20239,"Candesartan cilexetil","145040-37-5","C145040375","DTXSID5020239","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20240,"Caprolactam","105-60-2","C105602","DTXSID4020240","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20241,"Capsaicin","404-86-4","C404864","DTXSID9020241","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
20242,"Captafol","2425-06-1","C2425061","DTXSID4020242","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20243,"Captan","133-06-2","C133062","DTXSID9020243","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20244,"Semicarbazide hydrochloride","563-41-7","C563417","DTXSID4020244","TOX21SL"
20245,"Phenicarbazide","103-03-7","C103037","DTXSID9020245","TOX21SL"
20246,"Carbarsone","121-59-5","C121595","DTXSID4020246","TOX21SL"
20247,"Carbaryl","63-25-2","C63252","DTXSID9020247","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20248,"Carbazole","86-74-8","C86748","DTXSID4020248","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20249,"Carbofuran","1563-66-2","C1563662","DTXSID9020249","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20250,"Carbon tetrachloride","56-23-5","C56235","DTXSID8020250","TOX21SL"
20252,"Carbromal","77-65-6","C77656","DTXSID8020252","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20253,"beta-Carotene","7235-40-7","C7235407","DTXSID3020253","TOX21SL"
20256,"d-Carvone","2244-16-8","C2244168","DTXSID8020256","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20257,"Catechol","120-80-9","C120809","DTXSID3020257","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20260,"Chenodeoxycholic acid","474-25-9","C474259","DTXSID2020260","TOX21SL"
20261,"Chloral hydrate","302-17-0","C302170","DTXSID7020261","TOX21SL"
20262,"Chloramben","133-90-4","C133904","DTXSID2020262","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20263,"Chlorambucil","305-03-3","C305033","DTXSID7020263","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20265,"Chloramphenicol","56-75-7","C56757","DTXSID7020265","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20266,"Chloranil","118-75-2","C118752","DTXSID2020266","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20267,"Chlordane","57-74-9","C57749","DTXSID7020267","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20268,"Chlorendic acid","115-28-6","C115286","DTXSID2020268","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20274,"Chlormadinone acetate","302-22-7","C302227","DTXSID6020274","TOX21SL"
20275,"4-Chloro-4'-aminodiphenyl ether","101-79-1","C101791","DTXSID1020275","TOX21SL"
20276,"3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone","77439-76-0","C77439760","DTXSID6020276","TOX21SL"
20278,"1-Chloro-2,4-dinitrobenzene","97-00-7","C97007","DTXSID6020278","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20279,"3-Chloro-2-methylpropene","563-47-3","C563473","DTXSID1020279","TOX21SL|TOXCAST|TOXCAST_EPATox21"
20280,"1-Chloro-2-nitrobenzene","88-73-3","C88733","DTXSID0020280","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
20281,"1-Chloro-4-nitrobenzene","100-00-5","C100005","DTXSID5020281","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20282,"4-Chloro-1,3-diaminobenzene","5131-60-2","C5131602","DTXSID0020282","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20283,"4-Chloro-1,2-diaminobenzene","95-83-0","C95830","DTXSID5020283","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20284,"2-Chloro-1,4-diaminobenzene sulfate","61702-44-1","C61702441","DTXSID0020284","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20286,"3-Chloro-4-methylaniline","95-74-9","C95749","DTXSID0020286","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20287,"5-Chloro-2-methylaniline","95-79-4","C95794","DTXSID5020287","TOX21SL"
20288,"4-Chloro-2-methylaniline hydrochloride","3165-93-3","C3165933","DTXSID0020288","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20290,"Pirinixic acid","50892-23-4","C50892234","DTXSID4020290","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20292,"Chloroacetaldehyde","107-20-0","C107200","DTXSID4020292","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20293,"2-Chloroacetophenone","532-27-4","C532274","DTXSID9020293","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
20294,"4'-(Chloroacetyl)acetanilide","140-49-8","C140498","DTXSID4020294","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
20295,"4-Chloroaniline","106-47-8","C106478","DTXSID9020295","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
