CNOCAS47383	AVE3247
C1445756	Diisopropyl methylphosphonate
C77407	Bisphenol B
C10540291	Tamoxifen
C138261413	Imidacloprid
C353280076	CP-612372
C52868	Haloperidol
C120558	Diethylene glycol dibenzoate
C103366	Ethyl cinnamate
C15299997	Napropamide
C88671890	Myclobutanil
C91952	3,3'-Diaminobenzidine
C21564170	2-(Thiocyanomethylthio)benzothiazole
C7287196	Prometryn
C162706141	UK-156819
C1698608	Chloridazon
C886500	Terbutryn
C950378	Methidathion
C599644	4-Cumylphenol
C131860338	Azoxystrobin
C2778429	1,3-Bis(2-isocyanato-2-propyl)benzene
C140498	4'-(Chloroacetyl)acetanilide
C700061	Indole-3-carbinol
C2058948	Perfluoroundecanoic acid
C3697425	Chlorhexidine dihydrochloride
C50782	Aspirin
C3524683	Pentaerythritol triacrylate
C2642719	Azinphos-ethyl
C121335	4-Hydroxy-3-methoxybenzaldehyde
C131555	2,2',4,4'-Tetrahydroxybenzophenone
C57749	Chlordane
C121880	2-Amino-5-nitrophenol
C3825261	Ammonium perfluorooctanoate
C314409	Bromacil
C81335775	Imazethapyr
C3147759	Octrizole
C104795688	CI-959
C155569918	Emamectin benzoate
C120832	2,4-Dichlorophenol
C85509199	Flusilazole
C3290924	Trimethylolpropane trimethacrylate
C155990208	SR271425
C39300453	Dinocap
C4422951	1,3,5-Benzenetricarbonyl trichloride
C68844779	Astemizole
C7696120	Tetramethrin
C446720	Genistein
C95545	1,2-Phenylenediamine
C289716945	CP-607366
C121755	Malathion
CNOCAS34742	Milbemectin (mixture of 70% Milbemcin A4, 30% Milbemycin A3)
C2795393	Potassium perfluorooctanesulfonate
C101053	Anilazine
C106490	4-Methylaniline
C107415	2-Methyl-2,4-pentanediol
C131179	Diallyl phthalate
C69655056	2',3'-Dideoxyinosine
C94268	Butylparaben
C106434	4-Chlorotoluene
C95830	4-Chloro-1,2-diaminobenzene
C1478611	Bisphenol AF
C35575963	Azamethiphos
C61767	Phenylephrine hydrochloride
C133073	Folpet
C85532758	PK 11195
C19774824	Amiodarone hydrochloride
C3689245	Sulfotepp
C742693385	SSR504734
CNOCAS47330	PharmaGSID_47330
C1610180	Prometon
C119446683	Difenoconazole
C57636	17alpha-Ethinylestradiol
C602879	5-Nitroacenaphthene
CNOCAS47311	GSK163929B
C102067	1,3-Diphenylguanidine
C1897456	Chlorothalonil
C126535157	Triflusulfuron-methyl
CNOCAS47362	SSR150106
C2634335	1,2-Benzisothiazolin-3-one
C121664	2-Amino-5-nitrothiazole
C148798	Thiabendazole
C4151502	N-Ethylperfluorooctanesulfonamide
C124495187	Quinoxyfen
C112185	N,N-Dimethyldodecan-1-amine
C36673162	Isopropyl triethanolamine titanate
C51241	Tiratricol
C121006	2-tert-Butyl-4-methoxyphenol
C1987504	4-Heptylphenol
C335671	Perfluorooctanoic acid
C102965	beta-Nitrostyrene
C300765	Naled
C42509808	Isazofos
C929601092	SR58611
C173584446	Indoxacarb
C81406373	Fluroxypyr-meptyl
C84628	Diphenyl phthalate
C124378774	Enadoline
C110488705	Dimethomorph
C4291638	Cladribine
C1948330	tert-Butylhydroquinone
C53032	Prednisone
C35554440	Imazalil
C80057	Bisphenol A
C122145	Fenitrothion
C439687691	Nelivaptan
CNOCAS48507	PharmaGSID_48507
C71751412	Abamectin
C91532	Ethoxyquin
C6515384	3,5,6-Trichloro-2-pyridinol
C203942498	UK-337312
C253450098	Besonprodil
C3844459	FD&C Blue No. 1
C134032	Sodium L-ascorbate
C1120010	Sodium hexyldecyl sulfate
C501027492	PD-0333941
C43121433	Triadimefon
C149062759	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)
C189003927	Trelanserin
C66332965	Flutolanil
C288104790	Surinabant
C123251	Diethyl butanedioate
C25956176	Allura Red C.I.16035
CNOCAS47333	PharmaGSID_47333
C1062243519	PharmaGSID_48511
C181640095	SR144190
C82640048	Raloxifene hydrochloride
C6734801	Metam-sodium hydrate
C36653824	1-Hexadecanol
C56553	Benz(a)anthracene
C6317186	Methylene bis(thiocyanate)
C161050584	Methoxyfenozide
C5307142	2-Nitro-1,4-phenylenediamine
C741582	Bensulide
CNOCAS47377	AVE6324
C140647	Pentamidine isethionate
C68694111	Triflumizole
C151506444	Difpas-pyrazole
C79970	3,3'-Dimethylbisphenol A
CNOCAS47381	AVE8923
CNOCAS48172	PharmaGSID_48172
C3811732	Sodium (2-pyridylthio)-N-oxide
C123343168	Pyrithiobac-sodium
