Chemical	Term	GOID	Bonferroni
C101724	stimulatory C-type lectin receptor signaling pathway	GO:0002223	0.00017601457916660568
C101724	peptidyl-threonine phosphorylation	GO:0018107	0.00017727042835058435
C101724	positive regulation of apoptotic process	GO:0043065	0.0003336218457024032
C101724	positive regulation of NF-kappaB transcription factor activity	GO:0051092	0.00034032909154835256
C101724	positive regulation of protein ubiquitination	GO:0031398	0.00034178763308723164
C101724	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	0.00041505839278077605
C101724	cellular response to oxidative stress	GO:0034599	0.0009904375699592016
C101724	response to xenobiotic stimulus	GO:0009410	0.0011321434209020653
C101724	positive regulation of fibroblast proliferation	GO:0048146	0.0011573281306865855
C101724	response to ethanol	GO:0045471	0.001157633171126604
C101724	cellular response to UV	GO:0034644	0.001282850527234869
C101724	cellular response to hypoxia	GO:0071456	0.001695730087263092
C101724	aging	GO:0007568	0.001716185565620143
C101724	negative regulation of cell proliferation	GO:0008285	0.0018051030830453785
C101724	positive regulation of neuron apoptotic process	GO:0043525	0.0019015999548843696
C101724	cellular response to tumor necrosis factor	GO:0071356	0.0019845468064694227
C101724	cellular response to dopamine	GO:1903351	0.002475680797121793
C101724	insulin receptor signaling pathway	GO:0008286	0.002745185381754167
C101724	cellular response to drug	GO:0035690	0.002745185381754167
C101724	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	0.0032690869635476627
C101724	inflammatory response	GO:0006954	0.003362676142627752
C101724	cellular response to insulin stimulus	GO:0032869	0.003373272476456357
C101724	negative regulation of protein kinase activity	GO:0006469	0.0035600234648701656
C101724	negative regulation of protein complex assembly	GO:0031333	0.003580692205382263
C101724	protein ubiquitination	GO:0016567	0.003954474500387328
C101724	T cell receptor signaling pathway	GO:0050852	0.004047957876085362
C101724	cellular response to hydrogen peroxide	GO:0070301	0.004942465445861632
C101724	negative regulation of protein binding	GO:0032091	0.0057813963463853035
C101724	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	0.00795742512433184
C101724	peptidyl-tyrosine autophosphorylation	GO:0038083	0.00967839051161501
C836306	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	5.230345964439262e-31
C836306	peptidyl-serine phosphorylation	GO:0018105	2.8546567146959817e-19
C836306	positive regulation of transcription, DNA-templated	GO:0045893	6.596072515525243e-17
C836306	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	3.5627501181449e-15
C836306	protein phosphorylation	GO:0006468	1.667030335136407e-14
C836306	response to drug	GO:0042493	1.1109240423983715e-13
C836306	negative regulation of apoptotic process	GO:0043066	6.744604874597826e-13
C836306	rhythmic process	GO:0048511	1.3264389586709056e-11
C836306	negative regulation of transcription, DNA-templated	GO:0045892	7.954137348775703e-10
C836306	apoptotic process	GO:0006915	1.3558903999566496e-09
C836306	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	1.364231216882672e-08
C836306	interleukin-1-mediated signaling pathway	GO:0070498	2.046110758602282e-08
C836306	stimulatory C-type lectin receptor signaling pathway	GO:0002223	2.988062253184154e-08
C836306	cellular response to UV	GO:0034644	4.520009266872903e-08
C836306	intracellular signal transduction	GO:0035556	4.870368985887552e-08
C836306	I-kappaB kinase/NF-kappaB signaling	GO:0007249	6.184083056748335e-08
C836306	positive regulation of gene expression	GO:0010628	6.373943672866035e-08
C836306	positive regulation of NF-kappaB transcription factor activity	GO:0051092	1.0547842044239529e-07
C836306	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	1.9519446647908725e-07
C836306	cellular response to hydrogen peroxide	GO:0070301	3.7250175999314905e-07
C836306	protein destabilization	GO:0031648	5.714158013425674e-07
C836306	tumor necrosis factor-mediated signaling pathway	GO:0033209	9.125844164792342e-07
C836306	aging	GO:0007568	9.77865610263251e-07
C836306	negative regulation of neuron apoptotic process	GO:0043524	1.557597162804569e-06
C836306	signal transduction	GO:0007165	2.7192950906584908e-06
C836306	regulation of transcription from RNA polymerase II promoter	GO:0006357	5.1357129630114065e-06
C836306	regulation of apoptotic process	GO:0042981	1.038510455919628e-05
C836306	cellular response to tumor necrosis factor	GO:0071356	1.0547063310051286e-05
C836306	cellular response to insulin stimulus	GO:0032869	1.2343453879681833e-05
C836306	regulation of cell cycle	GO:0051726	3.214857898925505e-05
C836306	cellular response to reactive oxygen species	GO:0034614	9.062822673189251e-05
C836306	regulation of circadian rhythm	GO:0042752	0.00011288881205384629
C836306	cellular response to hypoxia	GO:0071456	0.00013312030922241203
C836306	transcription from RNA polymerase II promoter	GO:0006366	0.0001356701977539565
C836306	cellular response to cadmium ion	GO:0071276	0.00014572983045846308
C836306	positive regulation of protein import into nucleus	GO:0042307	0.0001959075223778584
C836306	NIK/NF-kappaB signaling	GO:0038061	0.0002942685902864728
C836306	mammary gland epithelial cell proliferation	GO:0033598	0.00030303008102439133
C836306	positive regulation of protein phosphorylation	GO:0001934	0.0003644448362233321
C836306	positive regulation of apoptotic process	GO:0043065	0.00037015153474107004
C836306	regulation of cell proliferation	GO:0042127	0.00043122140514739726
C836306	cellular response to DNA damage stimulus	GO:0006974	0.0005240512618513993
C836306	inflammatory response	GO:0006954	0.000541108139197055
C836306	insulin-like growth factor receptor signaling pathway	GO:0048009	0.0008049507436036496
C836306	negative regulation of NF-kappaB transcription factor activity	GO:0032088	0.001134893159383088
C836306	response to xenobiotic stimulus	GO:0009410	0.0012341900840366904
C836306	regulation of transcription, DNA-templated	GO:0006355	0.0015263668604774685
C836306	positive regulation of neuron apoptotic process	GO:0043525	0.0020033723531194263
C836306	transforming growth factor beta receptor signaling pathway	GO:0007179	0.002142462592049532
C836306	positive regulation of cell proliferation	GO:0008284	0.0024851061871754565
C836306	protein import into nucleus	GO:0006606	0.002611638499567026
C836306	insulin receptor signaling pathway	GO:0008286	0.002891530286900812
C836306	positive regulation by host of viral transcription	GO:0043923	0.003333060150615852
C836306	negative regulation of protein complex assembly	GO:0031333	0.003737301481728461
C836306	positive regulation of smooth muscle cell proliferation	GO:0048661	0.0037492297348425963
C836306	negative regulation of protein kinase activity	GO:0006469	0.0037492297348425963
C836306	positive regulation of protein serine/threonine kinase activity	GO:0071902	0.004077257901912601
C836306	peptidyl-threonine phosphorylation	GO:0018107	0.004077257901912601
C836306	stress-activated MAPK cascade	GO:0051403	0.004266014326487211
C836306	protein stabilization	GO:0050821	0.005027712106915439
C836306	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	0.00644428120181606
C836306	response to muscle stretch	GO:0035994	0.00669178663332326
C836306	positive regulation of ERK1 and ERK2 cascade	GO:0070374	0.006975306111164814
CNOCAS47383	peptidyl-serine phosphorylation	GO:0018105	5.661665436857461e-17
CNOCAS47383	protein phosphorylation	GO:0006468	6.218717362414076e-15
CNOCAS47383	negative regulation of apoptotic process	GO:0043066	2.4191048534184662e-14
CNOCAS47383	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.5454971464000664e-11
CNOCAS47383	positive regulation of transcription, DNA-templated	GO:0045893	7.364642229390483e-11
CNOCAS47383	positive regulation of protein phosphorylation	GO:0001934	1.3468892667845012e-10
CNOCAS47383	apoptotic process	GO:0006915	5.293645521931012e-10
CNOCAS47383	intracellular signal transduction	GO:0035556	6.568865451583862e-10
CNOCAS47383	response to drug	GO:0042493	2.5348702803462686e-08
CNOCAS47383	negative regulation of gene expression	GO:0010629	7.979208556108119e-07
CNOCAS47383	regulation of cell cycle	GO:0051726	1.1496130717381092e-06
CNOCAS47383	MAPK cascade	GO:0000165	2.1203360807131592e-06
CNOCAS47383	peptidyl-threonine phosphorylation	GO:0018107	2.312811073212906e-06
CNOCAS47383	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	3.931398194323421e-06
CNOCAS47383	positive regulation of gene expression	GO:0010628	4.56710103180491e-06
CNOCAS47383	rhythmic process	GO:0048511	4.844372082035697e-06
CNOCAS47383	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.1952843518847622e-05
CNOCAS47383	negative regulation of protein complex assembly	GO:0031333	1.4327390711832422e-05
CNOCAS47383	insulin-like growth factor receptor signaling pathway	GO:0048009	7.319352906554055e-05
CNOCAS47383	signal transduction	GO:0007165	0.00013740337011414194
CNOCAS47383	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	0.0001502763240560645
CNOCAS47383	negative regulation of cell proliferation	GO:0008285	0.0001848583892214428
CNOCAS47383	insulin receptor signaling pathway	GO:0008286	0.0006936850400057759
CNOCAS47383	positive regulation of apoptotic process	GO:0043065	0.0007832251074836316
CNOCAS47383	protein autophosphorylation	GO:0046777	0.0008876346116328815
CNOCAS47383	protein import into nucleus	GO:0006606	0.0010582806765147
CNOCAS47383	cellular response to hypoxia	GO:0071456	0.001105504582314509
CNOCAS47383	negative regulation of protein binding	GO:0032091	0.0016584800368261154
CNOCAS47383	positive regulation of cell proliferation	GO:0008284	0.0019411809773562934
CNOCAS47383	positive regulation of protein binding	GO:0032092	0.001981860870412522
CNOCAS47383	positive regulation of MAPK cascade	GO:0043410	0.002838018938122522
CNOCAS47383	regulation of protein localization	GO:0032880	0.003284929692792593
CNOCAS47383	positive regulation of cell migration	GO:0030335	0.00356718618735341
CNOCAS47383	cellular response to mechanical stimulus	GO:0071260	0.00416647303697637
CNOCAS47383	positive regulation of peptidyl-serine phosphorylation	GO:0033138	0.005641075156572861
CNOCAS47383	positive regulation of protein catabolic process	GO:0045732	0.0065272444432605825
CNOCAS47383	response to ischemia	GO:0002931	0.009499809949418124
CNOCAS47383	negative regulation of neuron death	GO:1901215	0.009499809949418124
C78308	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.4191273028365764e-24
C78308	protein phosphorylation	GO:0006468	2.3148150063434514e-13
C78308	positive regulation of gene expression	GO:0010628	4.629630012686903e-13
C78308	positive regulation of transcription, DNA-templated	GO:0045893	1.1574075031717255e-12
C78308	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	1.3888890038060708e-11
C78308	cellular response to tumor necrosis factor	GO:0071356	2.4398150166859983e-10
C78308	peptidyl-serine phosphorylation	GO:0018105	5.133796721068506e-09
C78308	MAPK cascade	GO:0000165	1.983148290030101e-08
C78308	response to drug	GO:0042493	2.402893684028129e-08
C78308	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	6.821412368296366e-08
C78308	cellular response to reactive oxygen species	GO:0034614	8.077893864921748e-08
C78308	cellular response to cadmium ion	GO:0071276	1.5559537114295807e-07
C78308	signal transduction	GO:0007165	1.662157407267273e-07
C78308	positive regulation of NF-kappaB transcription factor activity	GO:0051092	2.972756748542693e-07
C78308	negative regulation of apoptotic process	GO:0043066	3.5724857683216976e-07
C78308	apoptotic process	GO:0006915	4.93499687670429e-07
C78308	insulin-like growth factor receptor signaling pathway	GO:0048009	4.979529265591863e-07
C78308	intracellular signal transduction	GO:0035556	1.8064482871782417e-06
C78308	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	2.2746436671994275e-06
C78308	aging	GO:0007568	2.7158689922535117e-06
C78308	I-kappaB kinase/NF-kappaB signaling	GO:0007249	4.361228818194896e-06
C78308	positive regulation of protein phosphorylation	GO:0001934	7.025098833657318e-06
C78308	regulation of cell cycle	GO:0051726	1.0583082401316446e-05
C78308	cellular response to hydrogen peroxide	GO:0070301	2.0985175863019734e-05
C78308	transcription from RNA polymerase II promoter	GO:0006366	3.40025763788665e-05
C78308	tumor necrosis factor-mediated signaling pathway	GO:0033209	5.727135666233618e-05
C78308	positive regulation of peptidyl-serine phosphorylation	GO:0033138	0.0001091609904328994
C78308	protein stabilization	GO:0050821	0.00011754512860706612
C78308	protein autophosphorylation	GO:0046777	0.00020168711426316044
C78308	positive regulation of cell proliferation	GO:0008284	0.000223818291984812
C78308	insulin receptor signaling pathway	GO:0008286	0.00023192387433357275
C78308	regulation of apoptotic process	GO:0042981	0.0002842935240802147
C78308	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	0.0002850221755609228
C78308	Fc-epsilon receptor signaling pathway	GO:0038095	0.0003680395102987344
C78308	circadian rhythm	GO:0007623	0.0003836852646555977
C78308	negative regulation of protein binding	GO:0032091	0.0005587376894495844
C78308	negative regulation of gene expression	GO:0010629	0.0005722404732169117
C78308	rhythmic process	GO:0048511	0.0006117075872013045
C78308	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	0.0008332635364540764
C78308	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	0.000881736713389536
C78308	cellular response to mechanical stimulus	GO:0071260	0.001417430635053507
C78308	inflammatory response	GO:0006954	0.0015030844447694314
C78308	response to hypoxia	GO:0001666	0.002300479003894296
C78308	positive regulation of cell differentiation	GO:0045597	0.002795501533821132
C78308	positive regulation of telomerase activity	GO:0051973	0.00289054765489416
C78308	cellular response to angiotensin	GO:1904385	0.003696280738217373
C78308	cellular response to steroid hormone stimulus	GO:0071383	0.003696280738217373
C78308	negative regulation of neuron death	GO:1901215	0.0037206365436185385
C78308	transforming growth factor beta receptor signaling pathway	GO:0007179	0.003901230742578421
C78308	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	GO:2001240	0.005114098419487179
C78308	stress-activated MAPK cascade	GO:0051403	0.0061522152321178405
C78308	peptidyl-threonine phosphorylation	GO:0018107	0.00686874079854316
C78308	positive regulation of apoptotic process	GO:0043065	0.006922314939208364
C78308	positive regulation of neuron death	GO:1901216	0.00956473405554159
C78308	response to muscle stretch	GO:0035994	0.009638182631951821
C78308	cellular response to DNA damage stimulus	GO:0006974	0.009897342529511357
C60207901	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	7.744271750954665e-22
C60207901	positive regulation of transcription, DNA-templated	GO:0045893	9.514988231332331e-20
C60207901	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	4.6696296481541166e-14
C60207901	negative regulation of apoptotic process	GO:0043066	2.0972112935169207e-13
C60207901	protein phosphorylation	GO:0006468	8.388845174067683e-13
C60207901	peptidyl-serine phosphorylation	GO:0018105	1.6777690348135366e-12
C60207901	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	5.0752513303109475e-11
C60207901	regulation of cell cycle	GO:0051726	7.843570237753283e-11
C60207901	response to drug	GO:0042493	3.0183064936295523e-09
C60207901	transforming growth factor beta receptor signaling pathway	GO:0007179	6.5789518277625794e-09
C60207901	cellular response to hypoxia	GO:0071456	1.497136215000694e-08
C60207901	positive regulation of gene expression	GO:0010628	2.8433570831154494e-08
C60207901	negative regulation of gene expression	GO:0010629	1.1599654015093107e-07
C60207901	positive regulation of apoptotic process	GO:0043065	2.317705528609437e-07
C60207901	negative regulation of protein binding	GO:0032091	3.0892651603497967e-07
C60207901	negative regulation of cell proliferation	GO:0008285	3.145382323488377e-07
C60207901	apoptotic process	GO:0006915	3.383111631949376e-07
C60207901	rhythmic process	GO:0048511	3.483633032042021e-07
C60207901	regulation of apoptotic process	GO:0042981	6.085356531237983e-06
C60207901	cellular response to hydrogen peroxide	GO:0070301	7.049750297527524e-06
C60207901	transcription from RNA polymerase II promoter	GO:0006366	7.332684507588283e-06
C60207901	negative regulation of transcription, DNA-templated	GO:0045892	1.2272630103060678e-05
C60207901	protein destabilization	GO:0031648	1.4512867853921918e-05
C60207901	cellular response to gamma radiation	GO:0071480	1.824097027214311e-05
C60207901	cellular senescence	GO:0090398	1.9053886229247755e-05
C60207901	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	1.954370774248648e-05
C60207901	regulation of transcription from RNA polymerase II promoter	GO:0006357	3.2727774907703726e-05
C60207901	neuron apoptotic process	GO:0051402	0.0001958127145428312
C60207901	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	0.0003043591308847793
C60207901	protein stabilization	GO:0050821	0.0003279145691332808
C60207901	response to hypoxia	GO:0001666	0.0007217813804597517
C60207901	G2/M transition of mitotic cell cycle	GO:0000086	0.001101246980360071
C60207901	negative regulation of canonical Wnt signaling pathway	GO:0090090	0.0013866963115761743
C60207901	cellular response to tumor necrosis factor	GO:0071356	0.0014609639659920461
C60207901	regulation of cellular response to heat	GO:1900034	0.0015323262854818331
C60207901	cellular response to insulin stimulus	GO:0032869	0.0025522698989328685
C60207901	cellular response to DNA damage stimulus	GO:0006974	0.0028824088137862076
C60207901	peptidyl-threonine phosphorylation	GO:0018107	0.003009286663405719
C60207901	transcription, DNA-templated	GO:0006351	0.003481964343572064
C60207901	G1/S transition of mitotic cell cycle	GO:0000082	0.0038435244605584673
C60207901	positive regulation of gluconeogenesis	GO:0045722	0.004278027076155322
C60207901	intracellular signal transduction	GO:0035556	0.005857736810990111
C60207901	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	0.0065352188074470074
C60207901	response to xenobiotic stimulus	GO:0009410	0.0073147300102676125
C60207901	negative regulation of cell growth	GO:0030308	0.007468887612605556
C60207901	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	0.00796527530287261
C60207901	SMAD protein complex assembly	GO:0007183	0.008194849551292127
C60207901	cellular response to virus	GO:0098586	0.009263779386533666
C140669	protein localization to CENP-A containing chromatin	GO:0061644	5.449532001138394e-22
C140669	negative regulation of megakaryocyte differentiation	GO:0045653	4.8709752866297156e-21
C140669	DNA replication-dependent nucleosome assembly	GO:0006335	1.6794673091297635e-19
C140669	DNA replication-independent nucleosome assembly	GO:0006336	6.301217992726809e-19
C140669	telomere organization	GO:0032200	1.2078706015353536e-18
C140669	DNA-templated transcription, initiation	GO:0006352	5.1517089332866445e-18
C140669	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	5.194057639648828e-18
C140669	protein phosphorylation	GO:0006468	5.576517969131403e-17
C140669	peptidyl-serine phosphorylation	GO:0018105	6.355929387845559e-17
C140669	positive regulation of transcription, DNA-templated	GO:0045893	1.9396791199193766e-15
C140669	negative regulation of apoptotic process	GO:0043066	2.8501555701033445e-14
C140669	nucleosome assembly	GO:0006334	1.2667866755577961e-11
C140669	rhythmic process	GO:0048511	2.732974957453393e-10
C140669	apoptotic process	GO:0006915	6.040695721409861e-10
C140669	intracellular signal transduction	GO:0035556	7.342670915733152e-10
C140669	regulation of cell cycle	GO:0051726	1.3459139136529076e-08
C140669	protein autophosphorylation	GO:0046777	4.6335536629804614e-08
C140669	peptidyl-threonine phosphorylation	GO:0018107	9.17547622325543e-08
C140669	cellular senescence	GO:0090398	1.8486380459759036e-07
C140669	positive regulation of apoptotic process	GO:0043065	1.9442944976244547e-07
C140669	cellular response to reactive oxygen species	GO:0034614	2.9331643569552307e-07
C140669	cellular response to cadmium ion	GO:0071276	5.634984588942514e-07
C140669	negative regulation of neuron death	GO:1901215	9.0479915881847e-07
C140669	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	1.8100246871322057e-06
C140669	signal transduction	GO:0007165	2.1260202484052466e-06
C140669	response to drug	GO:0042493	2.676103682430764e-06
C140669	cellular response to hydrogen peroxide	GO:0070301	3.4317013897222637e-06
C140669	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	4.171962026511267e-06
C140669	positive regulation of gene expression	GO:0010628	4.95129666167049e-06
C140669	cell cycle	GO:0007049	6.077005188065422e-06
C140669	tumor necrosis factor-mediated signaling pathway	GO:0033209	6.637133878162338e-06
C140669	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.3387079777715805e-05
C140669	positive regulation of NF-kappaB transcription factor activity	GO:0051092	2.480637292789911e-05
C140669	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	4.3363415268005134e-05
C140669	insulin-like growth factor receptor signaling pathway	GO:0048009	7.276529065225468e-05
C140669	cellular response to DNA damage stimulus	GO:0006974	0.00010939819990418709
C140669	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	0.00015291029080677363
C140669	aging	GO:0007568	0.00017910257898601234
C140669	stress-activated MAPK cascade	GO:0051403	0.0002147278863426916
C140669	I-kappaB kinase/NF-kappaB signaling	GO:0007249	0.0003600745174741071
C140669	cellular response to oxidative stress	GO:0034599	0.00037837985747624087
C140669	positive regulation of cell proliferation	GO:0008284	0.0003892791988737709
C140669	positive regulation of protein phosphorylation	GO:0001934	0.00041754557490136785
C140669	MAPK cascade	GO:0000165	0.0004361725858639254
C140669	positive regulation of neuron apoptotic process	GO:0043525	0.0004515600902529338
C140669	negative regulation of gene expression	GO:0010629	0.0004630388701339916
C140669	regulation of circadian rhythm	GO:0042752	0.0006250337032459585
C140669	insulin receptor signaling pathway	GO:0008286	0.000694054041783021
C140669	Fc-epsilon receptor signaling pathway	GO:0038095	0.0008206060756630329
C140669	positive regulation of neuron death	GO:1901216	0.0008642916984353821
C140669	negative regulation of protein kinase activity	GO:0006469	0.0009407587320332533
C140669	cellular response to hypoxia	GO:0071456	0.0011204136342423119
C140669	cellular response to tumor necrosis factor	GO:0071356	0.0013349722565013655
C140669	regulation of apoptotic process	GO:0042981	0.0014380564120954895
C140669	neuron apoptotic process	GO:0051402	0.0015144306098520133
C140669	response to xenobiotic stimulus	GO:0009410	0.001560702810219805
C140669	cellular response to platelet-derived growth factor stimulus	GO:0036120	0.0019257074840668407
C140669	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	0.0025646352240505928
C140669	protein destabilization	GO:0031648	0.002744295262061991
C140669	protein ubiquitination	GO:0016567	0.002788713958307043
C140669	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	0.002979995913626743
C140669	positive regulation of mitotic cell cycle	GO:0045931	0.0054714762942333905
C140669	positive regulation of peptidyl-serine phosphorylation	GO:0033138	0.005637985104334331
C140669	cellular response to UV	GO:0034644	0.0058354476322810545
C140669	negative regulation of cell proliferation	GO:0008285	0.006294688730297815
C140669	JNK cascade	GO:0007254	0.006446334764959816
C140669	regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043122	0.00981341435407801
C51707552	regulation of cell cycle	GO:0051726	3.305758241657375e-23
C51707552	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	5.647737303782501e-19
C51707552	positive regulation of transcription, DNA-templated	GO:0045893	7.005426893611663e-16
C51707552	negative regulation of apoptotic process	GO:0043066	5.2553801694177494e-14
C51707552	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	2.4913404672588517e-12
C51707552	positive regulation of gene expression	GO:0010628	6.74738043215939e-11
C51707552	protein stabilization	GO:0050821	6.830425114401349e-11
C51707552	negative regulation of cell proliferation	GO:0008285	6.786826656224322e-10
C51707552	protein phosphorylation	GO:0006468	2.8189101719533486e-08
C51707552	cellular response to DNA damage stimulus	GO:0006974	3.572042373001238e-08
C51707552	negative regulation of cell growth	GO:0030308	1.3864371017913152e-07
C51707552	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	1.700522422876105e-07
C51707552	G1/S transition of mitotic cell cycle	GO:0000082	3.4398928450141137e-07
C51707552	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	4.484347476685358e-07
C51707552	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	5.276778133334047e-07
C51707552	cellular senescence	GO:0090398	7.232792670341938e-07
C51707552	response to drug	GO:0042493	8.33233455010962e-07
C51707552	cell cycle	GO:0007049	1.362059750431577e-06
C51707552	cellular response to UV	GO:0034644	1.508449460674299e-06
C51707552	protein ubiquitination	GO:0016567	1.7597090409271487e-06
C51707552	negative regulation of transcription, DNA-templated	GO:0045892	3.2719443345818884e-06
C51707552	regulation of apoptotic process	GO:0042981	9.59019913304715e-06
C51707552	positive regulation of protein ubiquitination	GO:0031398	1.4689935896483593e-05
C51707552	protein destabilization	GO:0031648	1.90216958968481e-05
C51707552	negative regulation of gene expression	GO:0010629	2.2065504807544656e-05
C51707552	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	2.476110346194549e-05
C51707552	apoptotic process	GO:0006915	3.370196774432621e-05
C51707552	positive regulation by host of viral transcription	GO:0043923	4.074385598584751e-05
C51707552	positive regulation of fibroblast proliferation	GO:0048146	4.165960222735077e-05
C51707552	protein polyubiquitination	GO:0000209	4.969413561739522e-05
C51707552	regulation of transcription, DNA-templated	GO:0006355	6.115405473416935e-05
C51707552	chromatin remodeling	GO:0006338	8.042029541710516e-05
C51707552	peptidyl-serine phosphorylation	GO:0018105	8.042029541710516e-05
C51707552	DNA repair	GO:0006281	9.129813926100905e-05
C51707552	cellular response to xenobiotic stimulus	GO:0071466	9.359423608246152e-05
C51707552	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	0.00016978912191267792
C51707552	positive regulation of apoptotic process	GO:0043065	0.00034182379108205213
C51707552	amyloid fibril formation	GO:1990000	0.000509644056730596
C51707552	regulation of protein localization	GO:0032880	0.0005609804418493791
C51707552	cellular response to gamma radiation	GO:0071480	0.001054551870875553
C51707552	regulation of transcription from RNA polymerase II promoter	GO:0006357	0.0012319648582469476
C51707552	regulation of cellular response to heat	GO:1900034	0.0017810579425318052
C51707552	cellular response to angiotensin	GO:1904385	0.0023644346781748204
C51707552	replicative senescence	GO:0090399	0.0023644346781748204
C51707552	regulation of signal transduction by p53 class mediator	GO:1901796	0.004453092714642226
C51707552	neuron apoptotic process	GO:0051402	0.005201428809863962
C51707552	rhythmic process	GO:0048511	0.006069981204884223
C51707552	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	0.008160049865932661
C51707552	SMAD protein complex assembly	GO:0007183	0.009147961868918864
