TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0008284"	"pos. reg. of cell population proliferation"	-3.619788758288394	2.972665592266111	5.2827213336337016	0.7973806986730351	0.69511138	8285
"GO:0009410"	"response to xenobiotic stimulus"	-7.153662887870195	2.6314437690131722	2.4048209056093715	0.8982671892080798	0.11300959	null
"GO:0010628"	"pos. reg. of gene expression"	-6.681936665037238	3.064832219738574	6.5330029285875195	0.7732920533193361	0.43963689	null
"GO:0010629"	"neg. reg. of gene expression"	-2.612610173661271	2.9698816437465	5.248929939175491	0.8548265921418815	0.28654668	null
"GO:0010718"	"pos. reg. of EMT"	-2.2441251443275085	1.7403626894942439	0.3041225501239018	0.8439624334037817	0.46261736	null
"GO:0014068"	"pos. reg. of PI3K signaling"	-6.707743928643524	1.9138138523837167	0.45618382518585265	0.7894964315833823	0.18049674	null
"GO:0043406"	"pos. reg. of MAP kinase activity"	-5.359518563029578	2.0755469613925306	0.664564091011489	0.681385076012461	0.74365009	14068
"GO:0043410"	"pos. reg. of MAPK cascade"	-5.38933983691012	2.6866362692622934	2.7314710520387475	0.7450411102506329	0.78628612	14068
"GO:0051897"	"pos. reg. of protein kinase B signaling"	-2.5044556624535517	2.03342375548695	0.602613201171435	0.7842070195035441	0.57264342	14068
"GO:0070374"	"pos. reg. of ERK1 and ERK2 cascade"	-6.16304326294045	2.3384564936046046	1.2221220995719757	0.7620669180038423	0.55636791	14068
"GO:0019221"	"cytokine-mediated signaling pathway"	-6.782516055786093	2.574031267727719	2.106330254561838	0.7316565744170109	0.4971529	null
"GO:0070102"	"interleukin-6-mediated signaling pathway"	-3.1811145854059903	1.1760912590556813	0.07884658706915972	0.79584599985707	0.5599536	19221
"GO:0030154"	"cell differentiation"	-4.954677021213342	3.5481436374348454	19.891867537733724	0.9509599389486422	0.39340791	null
"GO:0030183"	"B cell differentiation"	-3.6038006529042637	2.113943352306837	0.7265149808515431	0.920362829189779	0.32877843	null
"GO:0030335"	"pos. reg. of cell migration"	-11.48678239993206	2.7193312869837265	2.9454832169407523	0.8121883983357501	0.04900232	null
"GO:0043536"	"pos. reg. of blood vessel endothelial cell migration"	-2.2873502983727887	1.7323937598229686	0.29849065104753325	0.8366643525062106	0.7227244	30335
"GO:0030511"	"pos. reg. of TGFB receptor signaling"	-3.078313524516398	1.5185139398778875	0.18022077044379364	0.8158911258462792	0.38265644	null
"GO:0031295"	"T cell costimulation"	-4.327902142064283	1.6127838567197355	0.22527596305474207	0.8104041959572705	0.16725907	null
"GO:0035556"	"intracellular signal transduction"	-8.742321425130816	3.17868923977559	8.492903807163774	0.8096871625658035	0.47477586	null
"GO:0038096"	"Fc-gamma receptor signaling [...]"	-4.260427655549908	1.3424226808222062	0.11826988060373957	0.6918556467804867	0.43020421	null
"GO:0002223"	"stimulatory C-type lectin receptor signaling pathway"	-2.329754146925876	1.3424226808222062	0.11826988060373957	0.6918556467804867	0.72337481	38096
"GO:0050852"	"T cell receptor signaling pathway"	-4.193141970481182	2.0453229787866576	0.6195088984005406	0.6491556837116544	0.72337481	38096
"GO:0042307"	"pos. reg. of protein import into nucleus"	-4.199282921717615	1.6127838567197355	0.22527596305474207	0.8539226697987025	0.16725907	null
"GO:1903078"	"pos. reg. of protein localization to plasma membrane"	-2.002613615602687	1.7781512503836436	0.3322820455057445	0.8491825202244209	0.60106582	42307
"GO:0043066"	"neg. reg. of apoptotic process"	-9.67366413907125	2.94546858513182	4.961703086280694	0.8902568127743241	0.05461668	null
"GO:0043524"	"neg. reg. of neuron apoptotic process"	-3.0150228735845066	2.184691430817599	0.8560486596080198	0.9076480457674779	0.72704694	43066
"GO:0045766"	"pos. reg. of angiogenesis"	-2.9136401693252516	2.2068258760318495	0.9011038522189683	0.8456995019641883	0.40236614	null
"GO:0051726"	"reg. of cell cycle"	-2.51427857351842	3.044539760392411	6.234512277539986	0.9320399709576157	0.06170384	null
"GO:0070301"	"cellular response to hydrogen peroxide"	-2.7644715530924513	1.8388490907372552	0.38296913719306147	0.8559235439122582	0.25710462	null
"GO:0071364"	"cellular response to EGF stimulus"	-5.512861624522814	1.6434526764861874	0.2421716602838477	0.8811728242282078	0.08646926	null
"GO:1902895"	"pos. reg. of miRNA transcription"	-10.379863945026242	1.7160033436347992	0.2872268528947961	0.8073695525766643	0.17159228	null
"GO:0000122"	"neg. reg. of transcription by RNA polymerase II"	-2.7399286120149253	2.9858753573083936	5.44604640684839	0.8214956373918877	0.61851562	1902895
"GO:0045893"	"pos. reg. of DNA-templated transcription"	-13.232102383981909	3.2273724422896364	9.501013741833747	0.7190586806035506	0.8488954	1902895
"GO:0045944"	"pos. reg. of transcription by RNA polymerase II"	-16.447331783887808	3.0923696996291206	6.961027258391529	0.7259031170024246	0.50017974	1902895
